serial,species,size,agg_wt_final,count_final,year,season
510,Yellow Perch,M,2621.536,91.561,2014,Autumn
510,Yellow Perch,O/D,356,5,2014,Autumn
510,Yellow Perch,S,45828.69,7324.88,2014,Autumn
511,Emerald Shiner,L,126.5,29,2014,Autumn
511,Emerald Shiner,S,32,20,2014,Autumn
511,Freshwater Drum,M,8816,21,2014,Autumn
511,Gizzard Shad,M,463,21,2014,Autumn
511,Gizzard Shad,S,65.5,7,2014,Autumn
511,Rainbow Smelt,L,8.5,1,2014,Autumn
511,Rainbow Smelt,S,2,5,2014,Autumn
511,Silver Chub,ALL,44,1,2014,Autumn
511,Spottail Shiner,L,260,17,2014,Autumn
511,Spottail Shiner,S,36,45,2014,Autumn
511,Trout Perch,L,95,11,2014,Autumn
511,Trout Perch,S,85.5,33,2014,Autumn
511,Walleye,S,1088,25,2014,Autumn
511,White Perch,O/D,230,2,2014,Autumn
511,White Perch,S,25,4,2014,Autumn
511,Yellow Perch,L,130,2,2014,Autumn
511,Yellow Perch,M,657.5,26,2014,Autumn
511,Yellow Perch,O/D,478,5,2014,Autumn
511,Yellow Perch,S,1340,342,2014,Autumn
512,Channel Catfish,ALL,17162,24,2014,Autumn
512,Common Carp,ALL,30700,4,2014,Autumn
512,Freshwater Drum,ALL,34740,92,2014,Autumn
512,Gizzard Shad,ALL,20,1,2014,Autumn
512,Round Goby,ALL,820,29,2014,Autumn
512,Shorthead Redhorse,ALL,2442,3,2014,Autumn
512,Spottail Shiner,ALL,12,3,2014,Autumn
512,Trout Perch,ALL,16.5,2,2014,Autumn
512,Walleye,L,2408,1,2014,Autumn
512,Walleye,M,6780,11,2014,Autumn
512,Walleye,S,207,4,2014,Autumn
512,White Perch,L,3485,18,2014,Autumn
512,White Perch,M,5680,57,2014,Autumn
512,White Perch,O/D,940,5,2014,Autumn
512,White Perch,S,248.5,5,2014,Autumn
512,White Perch,XL,1075,3,2014,Autumn
512,White Perch,XS,3060,457,2014,Autumn
512,White Sucker,ALL,2143,6,2014,Autumn
512,Yellow Perch,O/D,318,5,2014,Autumn
512,Yellow Perch,M,1108,20,2014,Autumn
512,Yellow Perch,S,810,118,2014,Autumn
513,Channel Catfish,ALL,2465,6,2014,Autumn
513,Emerald Shiner,ALL,33,15,2014,Autumn
513,Freshwater Drum,L,12077,5,2014,Autumn
513,Freshwater Drum,M,8740,25,2014,Autumn
513,Gizzard Shad,L,2114,60,2014,Autumn
513,Gizzard Shad,M,12440,759,2014,Autumn
513,Gizzard Shad,S,375,50,2014,Autumn
513,Round Goby,ALL,12,2,2014,Autumn
513,Trout Perch,L,75.5,7,2014,Autumn
513,Trout Perch,S,9,2,2014,Autumn
513,Walleye,L,1354,1,2014,Autumn
513,Walleye,M,4802,9,2014,Autumn
513,Walleye,S,432,10,2014,Autumn
513,White Bass,L,256,1,2014,Autumn
513,White Bass,S,3.5,1,2014,Autumn
513,White Perch,M,1298,20,2014,Autumn
513,White Perch,O/D,674,5,2014,Autumn
513,White Perch,S,1843,284,2014,Autumn
513,Yellow Perch,M,796,20,2014,Autumn
513,Yellow Perch,O/D,408,5,2014,Autumn
513,Yellow Perch,S,82,12,2014,Autumn
514,Channel Catfish,ALL,573,1,2014,Autumn
514,Emerald Shiner,L,495.703,142,2014,Autumn
514,Emerald Shiner,S,116.636,106,2014,Autumn
514,Freshwater Drum,L,19820,19,2014,Autumn
514,Gizzard Shad,ALL,3588.8,222,2014,Autumn
514,Round Goby,ALL,12.3365,2.243,2014,Autumn
514,Spottail Shiner,ALL,13.458,4.486,2014,Autumn
514,Trout Perch,ALL,30.2805,8.972,2014,Autumn
514,Walleye,M,1698,3,2014,Autumn
514,Walleye,S,1627,39,2014,Autumn
514,White Bass,L,350,1,2014,Autumn
514,White Perch,O/D,522,4,2014,Autumn
514,White Perch,S,1996.27,391,2014,Autumn
514,Yellow Perch,M,1309.912,33.645,2014,Autumn
514,Yellow Perch,O/D,412,5,2014,Autumn
514,Yellow Perch,S,35845.383,5959.651,2014,Autumn
515,Freshwater Drum,L,1146,1,2014,Autumn
515,Gizzard Shad,L,1022,22,2014,Autumn
515,Gizzard Shad,M,2264,105,2014,Autumn
515,Smallmouth Bass,ALL,26,1,2014,Autumn
515,Trout Perch,ALL,15,3,2014,Autumn
515,Walleye,S,126,4,2014,Autumn
515,White Perch,S,940,145,2014,Autumn
515,Yellow Perch,M,1249,43,2014,Autumn
515,Yellow Perch,O/D,874,5,2014,Autumn
515,Yellow Perch,S,1182,155,2014,Autumn
516,Channel Catfish,ALL,647,2,2014,Autumn
516,Emerald Shiner,L,33,8,2014,Autumn
516,Emerald Shiner,S,5.5,3,2014,Autumn
516,Freshwater Drum,L,12949,6,2014,Autumn
516,Freshwater Drum,M,6205,13,2014,Autumn
516,Freshwater Drum,S,16.5,1,2014,Autumn
516,Gizzard Shad,L,1452,41,2014,Autumn
516,Gizzard Shad,M,14630,707,2014,Autumn
516,Gizzard Shad,S,1307,159,2014,Autumn
516,Quillback,ALL,6676,4,2014,Autumn
516,Rainbow Smelt,ALL,3.1,5,2014,Autumn
516,Round Goby,ALL,10,1,2014,Autumn
516,Trout Perch,ALL,28,4,2014,Autumn
516,Walleye,M,2149,5,2014,Autumn
516,Walleye,S,676,13,2014,Autumn
516,White Perch,L,502,4,2014,Autumn
516,White Perch,M,386,7,2014,Autumn
516,White Perch,O/D,815,5,2014,Autumn
516,White Perch,S,2820,522,2014,Autumn
516,White Sucker,ALL,1608,4,2014,Autumn
516,Yellow Perch,M,973,21,2014,Autumn
516,Yellow Perch,O/D,412,5,2014,Autumn
516,Yellow Perch,S,121,18,2014,Autumn
517,Channel Catfish,ALL,8882,4,2014,Autumn
517,Channel Catfish,M,8420,25,2014,Autumn
517,Emerald Shiner,ALL,102,39,2014,Autumn
517,Freshwater Drum,L,6490,5,2014,Autumn
517,Freshwater Drum,M,3380,5,2014,Autumn
517,Freshwater Drum,S,307,2,2014,Autumn
517,Gizzard Shad,ALL,6435,460,2014,Autumn
517,Quillback,ALL,78140,44,2014,Autumn
517,Trout Perch,L,153.5,13,2014,Autumn
517,Trout Perch,S,43.5,8,2014,Autumn
517,Walleye,L,7089,5,2014,Autumn
517,Walleye,M,316,1,2014,Autumn
517,Walleye,S,95,2,2014,Autumn
517,White Bass,L,10550,13,2014,Autumn
517,White Perch,L,1610,6,2014,Autumn
517,White Perch,M,1160,14,2014,Autumn
517,White Perch,O/D,878,5,2014,Autumn
517,White Perch,S,1790,5,2014,Autumn
517,White Sucker,L,1238,1,2014,Autumn
517,Yellow Perch,M,327,9,2014,Autumn
517,Yellow Perch,O/D,240,2,2014,Autumn
517,Yellow Perch,S,85,14,2014,Autumn
518,Channel Catfish,L,1504,1,2014,Autumn
518,Emerald Shiner,S,2,4,2014,Autumn
518,Freshwater Drum,L,22720,36,2014,Autumn
518,Gizzard Shad,ALL,464,30,2014,Autumn
518,Rainbow Smelt,S,0.5,1,2014,Autumn
518,Round Goby,ALL,8,3,2014,Autumn
518,Trout Perch,S,6,2,2014,Autumn
518,Walleye,M,1007,3,2014,Autumn
518,Walleye,S,1075,24,2014,Autumn
518,White Perch,M,46,1,2014,Autumn
518,White Perch,O/D,70,1,2014,Autumn
518,White Perch,S,510,85,2014,Autumn
518,Yellow Perch,L,162,2,2014,Autumn
518,Yellow Perch,M,601,16,2014,Autumn
518,Yellow Perch,O/D,366,3,2014,Autumn
518,Yellow Perch,S,3422,487,2014,Autumn
519,Channel Catfish,ALL,3997,6,2014,Autumn
519,Common Carp,ALL,8542,2,2014,Autumn
519,Emerald Shiner,L,40,9,2014,Autumn
519,Emerald Shiner,S,20,13,2014,Autumn
519,Freshwater Drum,L,8953,6,2014,Autumn
519,Freshwater Drum,M,12500,33,2014,Autumn
519,Gizzard Shad,ALL,738,41,2014,Autumn
519,Quillback,ALL,2242,1,2014,Autumn
519,Rainbow Smelt,S,1.5,7,2014,Autumn
519,Round Goby,ALL,23.5,1,2014,Autumn
519,Trout Perch,L,25,3,2014,Autumn
519,Trout Perch,S,22,6,2014,Autumn
519,Walleye,S,630,42,2014,Autumn
519,White Bass,L,3154,8,2014,Autumn
519,White Perch,L,2162,25,2014,Autumn
519,White Perch,M,528,15,2014,Autumn
519,White Perch,O/D,664,5,2014,Autumn
519,White Perch,S,712,117,2014,Autumn
519,White Perch,XL,784,3,2014,Autumn
519,Yellow Perch,L,477,5,2014,Autumn
519,Yellow Perch,M,690,22,2014,Autumn
519,Yellow Perch,O/D,476,5,2014,Autumn
519,Yellow Perch,S,160,26,2014,Autumn
520,Channel Catfish,ALL,2404,5,2014,Autumn
520,Common Carp,ALL,8200,1,2014,Autumn
520,Emerald Shiner,ALL,20,8,2014,Autumn
520,Freshwater Drum,L,1470,1,2014,Autumn
520,Freshwater Drum,M,2179,5,2014,Autumn
520,Gizzard Shad,ALL,509,23,2014,Autumn
520,Quillback,ALL,4783,5,2014,Autumn
520,Rainbow Smelt,ALL,3.5,6,2014,Autumn
520,Round Goby,ALL,2.5,1,2014,Autumn
520,Spottail Shiner,ALL,15,3,2014,Autumn
520,Walleye,L,1570,1,2014,Autumn
520,Walleye,M,1613,4,2014,Autumn
520,Walleye,S,1720,30,2014,Autumn
520,White Bass,ALL,2626,7,2014,Autumn
520,White Perch,L,1670,11,2014,Autumn
520,White Perch,O/D,1166,5,2014,Autumn
520,White Perch,S,57,2,2014,Autumn
520,White Perch,XS,432,68,2014,Autumn
520,White Sucker,ALL,2522,2,2014,Autumn
520,Yellow Perch,O/D,128,1,2014,Autumn
520,Yellow Perch,S,75,9,2014,Autumn
521,Emerald Shiner,ALL,113.5,33,2014,Autumn
521,Freshwater Drum,L,51658,28,2014,Autumn
521,Freshwater Drum,M,10880,16,2014,Autumn
521,Freshwater Drum,S,571,2,2014,Autumn
521,Gizzard Shad,ALL,7,1,2014,Autumn
521,Rainbow Smelt,S,7.5,13,2014,Autumn
521,Round Goby,ALL,10.5,3,2014,Autumn
521,Walleye,M,313,1,2014,Autumn
521,Walleye,S,262,5,2014,Autumn
521,White Bass,L,676,2,2014,Autumn
521,White Perch,L,267,1,2014,Autumn
521,White Perch,M,249,3,2014,Autumn
521,White Perch,O/D,792,5,2014,Autumn
521,White Perch,S,31,1,2014,Autumn
521,White Perch,XS,280,54,2014,Autumn
521,Yellow Perch,M,72,2,2014,Autumn
521,Yellow Perch,S,80,14,2014,Autumn
522,Channel Catfish,ALL,655,1,2014,Autumn
522,Common Carp,ALL,8220,1,2014,Autumn
522,Emerald Shiner,L,306,71,2014,Autumn
522,Emerald Shiner,S,94,47,2014,Autumn
522,Freshwater Drum,L,41371,25,2014,Autumn
522,Freshwater Drum,M,11201,39,2014,Autumn
522,Gizzard Shad,ALL,625,35,2014,Autumn
522,Quillback,ALL,2300,1,2014,Autumn
522,Rainbow Smelt,S,8,13,2014,Autumn
522,Round Goby,ALL,216,22,2014,Autumn
522,Trout Perch,ALL,40,8,2014,Autumn
522,Walleye,L,1621,1,2014,Autumn
522,Walleye,M,273,1,2014,Autumn
522,Walleye,S,1088,25,2014,Autumn
522,White Bass,L,881,2,2014,Autumn
522,White Perch,L,2936,11,2014,Autumn
522,White Perch,O/D,1148,5,2014,Autumn
522,White Perch,S,548,76,2014,Autumn
522,White Sucker,ALL,1732,2,2014,Autumn
522,Yellow Perch,M,3340,69,2014,Autumn
522,Yellow Perch,O/D,478,5,2014,Autumn
522,Yellow Perch,S,406,59,2014,Autumn
523,Emerald Shiner,ALL,501,218,2014,Autumn
523,Freshwater Drum,L,13664,16,2014,Autumn
523,Gizzard Shad,ALL,1726,128,2014,Autumn
523,Rainbow Smelt,S,12.5,29,2014,Autumn
523,Rock Bass,ALL,100,2,2014,Autumn
523,Round Goby,ALL,130,8,2014,Autumn
523,Silver Chub,ALL,552,7,2014,Autumn
523,Walleye,M,648,2,2014,Autumn
523,Walleye,S,1799,40,2014,Autumn
523,White Bass,L,979,2,2014,Autumn
523,White Perch,M,2170,19,2014,Autumn
523,White Perch,O/D,798,5,2014,Autumn
523,White Perch,S,446,77,2014,Autumn
523,White Sucker,ALL,236,1,2014,Autumn
523,Yellow Perch,L,408,6,2014,Autumn
523,Yellow Perch,M,1434,43,2014,Autumn
523,Yellow Perch,O/D,480,5,2014,Autumn
523,Yellow Perch,S,6235,885,2014,Autumn
524,Channel Catfish,ALL,3202,3,2014,Autumn
524,Freshwater Drum,M,5731,9,2014,Autumn
524,Freshwater Drum,S,9360,28,2014,Autumn
524,Freshwater Drum,XS,34,1,2014,Autumn
524,Gizzard Shad,ALL,163,14,2014,Autumn
524,Rainbow Smelt,L,7,1,2014,Autumn
524,Rainbow Smelt,S,30,60,2014,Autumn
524,Trout Perch,L,432,41,2014,Autumn
524,Trout Perch,S,89,22,2014,Autumn
524,Walleye,L,6248,2,2014,Autumn
524,Walleye,M,286,1,2014,Autumn
524,Walleye,S,1866,45,2014,Autumn
524,White Perch,M,3336,45,2014,Autumn
524,White Perch,O/D,904,5,2014,Autumn
524,White Perch,S,990,183,2014,Autumn
524,White Sucker,ALL,895,4,2014,Autumn
524,Yellow Perch,L,2794,32,2014,Autumn
524,Yellow Perch,M,3442,113,2014,Autumn
524,Yellow Perch,O/D,454,5,2014,Autumn
524,Yellow Perch,S,494,99,2014,Autumn
525,Channel Catfish,ALL,2496,7,2014,Autumn
525,Emerald Shiner,ALL,4.5,1,2014,Autumn
525,Freshwater Drum,M,4730,19,2014,Autumn
525,Freshwater Drum,S,115,4,2014,Autumn
525,Freshwater Drum,L,32200,12,2014,Autumn
525,Gizzard Shad,ALL,79,3,2014,Autumn
525,Quillback,ALL,2826,2,2014,Autumn
525,Rainbow Smelt,ALL,39,78,2014,Autumn
525,Walleye,L,1816,1,2014,Autumn
525,Walleye,M,3078,8,2014,Autumn
525,Walleye,S,857,16,2014,Autumn
525,White Bass,L,11224,31,2014,Autumn
525,White Perch,L,10500,46,2014,Autumn
525,White Perch,M,193,3,2014,Autumn
525,White Perch,O/D,1200,5,2014,Autumn
525,White Perch,S,1578,181,2014,Autumn
525,White Sucker,ALL,520,2,2014,Autumn
525,Yellow Perch,M,170,4,2014,Autumn
525,Yellow Perch,O/D,86,1,2014,Autumn
525,Yellow Perch,S,55,9,2014,Autumn
526,Channel Catfish,L,5025,1,2014,Autumn
526,Channel Catfish,M,4366,18,2014,Autumn
526,Emerald Shiner,L,112,28,2014,Autumn
526,Emerald Shiner,S,425,354,2014,Autumn
526,Freshwater Drum,L,3055,2,2014,Autumn
526,Freshwater Drum,M,12288,26,2014,Autumn
526,Freshwater Drum,S,7190,38,2014,Autumn
526,Freshwater Drum,XS,37,1,2014,Autumn
526,Gizzard Shad,ALL,101,4,2014,Autumn
526,Rainbow Smelt,S,1,2,2014,Autumn
526,Trout Perch,ALL,31,2,2014,Autumn
526,Walleye,L,2770,1,2014,Autumn
526,Walleye,M,1752,4,2014,Autumn
526,Walleye,S,799,16,2014,Autumn
526,White Bass,L,6505,13,2014,Autumn
526,White Bass,S,49,2,2014,Autumn
526,White Perch,L,3032,14,2014,Autumn
526,White Perch,M,455,5,2014,Autumn
526,White Perch,O/D,1496,5,2014,Autumn
526,White Perch,S,1078,127,2014,Autumn
526,White Sucker,ALL,710,1,2014,Autumn
526,Yellow Perch,L,1242,10,2014,Autumn
526,Yellow Perch,M,515,11,2014,Autumn
526,Yellow Perch,O/D,862,5,2014,Autumn
526,Yellow Perch,S,31.5,5,2014,Autumn
527,Channel Catfish,ALL,1423,1,2014,Autumn
527,Emerald Shiner,ALL,9.5,5,2014,Autumn
527,Freshwater Drum,L,54106,30,2014,Autumn
527,Freshwater Drum,M,7750,13,2014,Autumn
527,Rainbow Smelt,S,33,66,2014,Autumn
527,Round Goby,ALL,25,3,2014,Autumn
527,Walleye,M,2340,4,2014,Autumn
527,Walleye,S,669,15,2014,Autumn
527,White Bass,M,79,1,2014,Autumn
527,White Bass,S,262,39,2014,Autumn
527,White Perch,M,66,1,2014,Autumn
527,White Perch,O/D,492,5,2014,Autumn
527,Yellow Perch,L,557,5,2014,Autumn
527,Yellow Perch,O/D,740,5,2014,Autumn
527,Yellow Perch,S,80,11,2014,Autumn
528,Common Carp,ALL,4272,1,2014,Autumn
528,Emerald Shiner,L,6,2,2014,Autumn
528,Freshwater Drum,M,5210,6,2014,Autumn
528,Freshwater Drum,S,387,2,2014,Autumn
528,Gizzard Shad,ALL,610,46,2014,Autumn
528,Log Perch,ALL,3,1,2014,Autumn
528,Rainbow Smelt,M,6,1,2014,Autumn
528,Rainbow Smelt,S,42,53,2014,Autumn
528,Trout Perch,L,90,9,2014,Autumn
528,Trout Perch,S,30,7,2014,Autumn
528,Unidentified Sp,S,1.5,8,2014,Autumn
528,Walleye,S,1726,43,2014,Autumn
528,White Bass,S,23,6,2014,Autumn
528,White Perch,M,29,1,2014,Autumn
528,White Perch,O/D,468,4,2014,Autumn
528,White Perch,S,292,44,2014,Autumn
528,White Sucker,ALL,214,1,2014,Autumn
528,Yellow Perch,L,419,6,2014,Autumn
528,Yellow Perch,M,207,7,2014,Autumn
528,Yellow Perch,O/D,810,5,2014,Autumn
528,Yellow Perch,S,418,80,2014,Autumn
529,Channel Catfish,L,14925,4,2014,Autumn
529,Channel Catfish,M,6335,24,2014,Autumn
529,Channel Catfish,S,158,3,2014,Autumn
529,Common Carp,ALL,23328,4,2014,Autumn
529,Emerald Shiner,ALL,1,1,2014,Autumn
529,Freshwater Drum,L,19408,8,2014,Autumn
529,Freshwater Drum,M,11459,29,2014,Autumn
529,Freshwater Drum,S,123,5,2014,Autumn
529,Gizzard Shad,ALL,600,32,2014,Autumn
529,Quillback,ALL,14610,7,2014,Autumn
529,Quillback,L,2982,1,2014,Autumn
529,Rainbow Smelt,ALL,0.5,1,2014,Autumn
529,Round Goby,ALL,46,5,2014,Autumn
529,Trout Perch,ALL,4,1,2014,Autumn
529,Walleye,L,2112,1,2014,Autumn
529,Walleye,M,905,3,2014,Autumn
529,White Bass,ALL,3602,7,2014,Autumn
529,White Perch,M,28760,151,2014,Autumn
529,White Perch,O/D,1150,5,2014,Autumn
529,White Perch,S,590,11,2014,Autumn
529,White Perch,XS,3120,624,2014,Autumn
529,White Sucker,ALL,5428,4,2014,Autumn
529,Yellow Perch,L,227,2,2014,Autumn
529,Yellow Perch,M,36,1,2014,Autumn
529,Yellow Perch,O/D,605,5,2014,Autumn
529,Yellow Perch,S,48.5,8,2014,Autumn
530,Channel Catfish,ALL,77,1,2014,Autumn
530,Emerald Shiner,ALL,159,72,2014,Autumn
530,Freshwater Drum,L,17200,8,2014,Autumn
530,Freshwater Drum,M,13060,41,2014,Autumn
530,Gizzard Shad,ALL,216,10,2014,Autumn
530,Rainbow Smelt,ALL,4.5,6,2014,Autumn
530,Walleye,L,1947,2,2014,Autumn
530,Walleye,M,951,3,2014,Autumn
530,Walleye,S,160,3,2014,Autumn
530,White Bass,ALL,4030,9,2014,Autumn
530,White Bass,S,23,1,2014,Autumn
530,White Perch,M,489,5,2014,Autumn
530,White Perch,O/D,1175,5,2014,Autumn
530,White Perch,S,1260,30,2014,Autumn
530,White Perch,XS,92,9,2014,Autumn
530,Yellow Perch,L,1984,17,2014,Autumn
530,Yellow Perch,M,688,15,2014,Autumn
530,Yellow Perch,O/D,615,5,2014,Autumn
530,Yellow Perch,S,71,10,2014,Autumn
531,Channel Catfish,ALL,1418,3,2014,Autumn
531,Common Carp,ALL,10700,1,2014,Autumn
531,Emerald Shiner,L,94,23,2014,Autumn
531,Freshwater Drum,L,17900,11,2014,Autumn
531,Freshwater Drum,M,21100,37,2014,Autumn
531,Gizzard Shad,ALL,1878,115,2014,Autumn
531,Rainbow Smelt,S,8.5,17,2014,Autumn
531,Round Goby,ALL,5.5,1,2014,Autumn
531,Walleye,L,1787,2,2014,Autumn
531,Walleye,M,1012,3,2014,Autumn
531,Walleye,S,161,3,2014,Autumn
531,White Bass,L,2070,5,2014,Autumn
531,White Bass,S,12.5,1,2014,Autumn
531,White Perch,L,2482,12,2014,Autumn
