serial ,fish_id,species,sp_code,size,tl,wt,year,season
529,83,Gizzard Shad,108,ALL,126,18,2014,Autumn
529,84,Gizzard Shad,108,ALL,93,7,2014,Autumn
529,85,Emerald Shiner,504,ALL,58,1,2014,Autumn
529,86,Rainbow Smelt,109,ALL,57,1,2014,Autumn
530,87,Walleye,803,L,504,1025,2014,Autumn
530,88,Walleye,803,L,468,922,2014,Autumn
530,89,Walleye,803,M,327,271,2014,Autumn
530,90,Walleye,803,M,362,380,2014,Autumn
530,91,Walleye,803,M,340,300,2014,Autumn
530,92,White Bass,133,ALL,287,311,2014,Autumn
530,93,White Bass,133,ALL,330,472,2014,Autumn
530,94,White Bass,133,ALL,313,400,2014,Autumn
530,95,White Bass,133,ALL,330,477,2014,Autumn
530,96,White Bass,133,ALL,347,656,2014,Autumn
530,97,Channel Catfish,119,ALL,212,77,2014,Autumn
530,98,Freshwater Drum,134,M,285,236,2014,Autumn
530,99,Freshwater Drum,134,M,282,213,2014,Autumn
530,100,Freshwater Drum,134,M,290,269,2014,Autumn
530,101,Freshwater Drum,134,M,285,225,2014,Autumn
530,102,Freshwater Drum,134,M,276,210,2014,Autumn
530,103,Freshwater Drum,134,M,392,630,2014,Autumn
530,104,Freshwater Drum,134,M,356,450,2014,Autumn
530,105,Freshwater Drum,134,L,546,1705,2014,Autumn
530,106,Freshwater Drum,134,L,614,3090,2014,Autumn
530,107,Freshwater Drum,134,L,615,2875,2014,Autumn
530,108,Freshwater Drum,134,L,496,1340,2014,Autumn
530,109,Freshwater Drum,134,L,550,2125,2014,Autumn
530,110,White Perch,132,S,137,29,2014,Autumn
530,111,White Perch,132,S,163,50,2014,Autumn
530,112,White Perch,132,S,162,56,2014,Autumn
530,113,White Perch,132,S,157,50,2014,Autumn
530,114,White Perch,132,S,166,62,2014,Autumn
530,115,White Perch,132,M,180,81,2014,Autumn
530,116,White Perch,132,M,203,116,2014,Autumn
530,117,White Perch,132,M,165,56,2014,Autumn
530,118,White Perch,132,M,207,126,2014,Autumn
530,119,White Perch,132,M,196,110,2014,Autumn
530,120,White Perch,132,XS,106,14,2014,Autumn
530,121,White Perch,132,XS,86,8,2014,Autumn
530,122,White Perch,132,XS,88,9,2014,Autumn
530,123,White Perch,132,XS,81,7,2014,Autumn
530,124,White Perch,132,XS,103,14,2014,Autumn
530,125,White Bass,133,S,129,23,2014,Autumn
530,126,White Perch,132,S,152,35,2014,Autumn
530,127,White Perch,132,S,160,37,2014,Autumn
530,128,White Perch,132,S,159,35,2014,Autumn
530,129,White Perch,132,S,147,32,2014,Autumn
530,130,White Perch,132,S,152,33,2014,Autumn
530,131,Walleye,803,S,186,52,2014,Autumn
530,132,Walleye,803,S,187,50,2014,Autumn
530,133,Walleye,803,S,198,58,2014,Autumn
530,134,Yellow Perch,801,S,97,9,2014,Autumn
530,135,Yellow Perch,801,S,88,7,2014,Autumn
530,136,Yellow Perch,801,S,97,11,2014,Autumn
530,137,Yellow Perch,801,S,68,5,2014,Autumn
530,138,Yellow Perch,801,S,97,13,2014,Autumn
530,139,Gizzard Shad,108,ALL,134,20,2014,Autumn
530,140,Gizzard Shad,108,ALL,138,26,2014,Autumn
530,141,Gizzard Shad,108,ALL,147,29,2014,Autumn
530,142,Gizzard Shad,108,ALL,113,14,2014,Autumn
530,143,Gizzard Shad,108,ALL,130,21,2014,Autumn
530,144,Emerald Shiner,504,ALL,60,2,2014,Autumn
530,145,Emerald Shiner,504,ALL,63,3,2014,Autumn
530,146,Emerald Shiner,504,ALL,53,2,2014,Autumn
530,147,Emerald Shiner,504,ALL,53,2,2014,Autumn
530,148,Emerald Shiner,504,ALL,54,2,2014,Autumn
530,149,Yellow Perch,801,M,161,48,2014,Autumn
530,150,Yellow Perch,801,M,168,50,2014,Autumn
530,151,Yellow Perch,801,M,169,51,2014,Autumn
530,152,Yellow Perch,801,M,156,40,2014,Autumn
530,153,Yellow Perch,801,M,150,36,2014,Autumn
530,154,Yellow Perch,801,L,185,72,2014,Autumn
530,155,Yellow Perch,801,L,218,133,2014,Autumn
530,156,Yellow Perch,801,L,166,52,2014,Autumn
530,157,Yellow Perch,801,L,176,57,2014,Autumn
530,158,Yellow Perch,801,L,172,53,2014,Autumn
530,159,Rainbow Smelt,109,ALL,53,0,2014,Autumn
530,160,Rainbow Smelt,109,ALL,52,0,2014,Autumn
530,161,Rainbow Smelt,109,ALL,52,0,2014,Autumn
530,162,Rainbow Smelt,109,ALL,58,0,2014,Autumn
530,163,Rainbow Smelt,109,ALL,50,0,2014,Autumn
530,164,Yellow Perch,801,O/D,250,220,2014,Autumn
530,165,Yellow Perch,801,O/D,220,132,2014,Autumn
530,166,Yellow Perch,801,O/D,198,96,2014,Autumn
530,167,Yellow Perch,801,O/D,193,92,2014,Autumn
530,168,Yellow Perch,801,O/D,190,75,2014,Autumn
530,169,White Perch,132,O/D,262,325,2014,Autumn
530,170,White Perch,132,O/D,266,285,2014,Autumn
530,171,White Perch,132,O/D,250,250,2014,Autumn
530,172,White Perch,132,O/D,234,195,2014,Autumn
530,173,White Perch,132,O/D,204,120,2014,Autumn
529,174,White Perch,132,O/D,270,342,2014,Autumn
529,175,White Perch,132,O/D,259,262,2014,Autumn
529,176,White Perch,132,O/D,221,164,2014,Autumn
529,177,White Perch,132,O/D,235,190,2014,Autumn
529,178,White Perch,132,O/D,242,192,2014,Autumn
529,179,Yellow Perch,801,O/D,242,175,2014,Autumn
529,180,Yellow Perch,801,O/D,230,140,2014,Autumn
529,181,Yellow Perch,801,O/D,212,100,2014,Autumn
529,182,Yellow Perch,801,O/D,208,110,2014,Autumn
529,183,Yellow Perch,801,O/D,190,80,2014,Autumn
525,184,White Bass,133,L,315,426,2014,Autumn
525,185,White Bass,133,L,306,391,2014,Autumn
525,186,White Bass,133,L,260,262,2014,Autumn
525,187,White Bass,133,L,297,329,2014,Autumn
525,188,White Bass,133,L,314,378,2014,Autumn
525,189,Quillback,403,ALL,488,1825,2014,Autumn
525,190,Quillback,403,ALL,398,1001,2014,Autumn
525,191,White Sucker,405,ALL,325,338,2014,Autumn
525,192,White Sucker,405,ALL,261,182,2014,Autumn
525,193,Freshwater Drum,134,M,344,433,2014,Autumn
525,194,Freshwater Drum,134,M,286,254,2014,Autumn
525,195,Freshwater Drum,134,M,292,272,2014,Autumn
525,196,Freshwater Drum,134,M,262,177,2014,Autumn
525,197,Freshwater Drum,134,M,206,80,2014,Autumn
525,198,Walleye,803,L,591,1816,2014,Autumn
525,199,Walleye,803,M,350,330,2014,Autumn
525,200,Walleye,803,M,350,362,2014,Autumn
525,201,Walleye,803,M,365,422,2014,Autumn
525,202,Walleye,803,M,356,381,2014,Autumn
525,203,Walleye,803,M,325,282,2014,Autumn
525,204,Walleye,803,S,214,78,2014,Autumn
525,205,Walleye,803,S,200,65,2014,Autumn
525,206,Walleye,803,S,207,64,2014,Autumn
525,207,Walleye,803,S,174,37,2014,Autumn
525,208,Walleye,803,S,180,41,2014,Autumn
525,209,Channel Catfish,119,ALL,354,388,2014,Autumn
525,210,Channel Catfish,119,ALL,375,492,2014,Autumn
525,211,Channel Catfish,119,ALL,380,508,2014,Autumn
525,212,Channel Catfish,119,ALL,350,400,2014,Autumn
525,213,Channel Catfish,119,ALL,299,221,2014,Autumn
525,214,White Perch,132,L,266,326,2014,Autumn
525,215,White Perch,132,L,251,289,2014,Autumn
525,216,White Perch,132,L,227,173,2014,Autumn
525,217,White Perch,132,L,242,200,2014,Autumn
525,218,White Perch,132,L,220,155,2014,Autumn
525,219,Freshwater Drum,134,L,664,3158,2014,Autumn
525,220,Freshwater Drum,134,L,590,2396,2014,Autumn
525,221,Freshwater Drum,134,L,598,2424,2014,Autumn
525,222,Freshwater Drum,134,L,618,2392,2014,Autumn
525,223,White Perch,132,M,163,57,2014,Autumn
525,224,White Perch,132,M,182,75,2014,Autumn
525,225,White Perch,132,M,166,61,2014,Autumn
525,226,White Perch,132,S,99,12,2014,Autumn
525,227,White Perch,132,S,74,6,2014,Autumn
525,228,White Perch,132,S,87,8,2014,Autumn
525,229,White Perch,132,S,86,7,2014,Autumn
525,230,White Perch,132,S,92,11,2014,Autumn
525,231,Yellow Perch,801,M,165,46,2014,Autumn
525,232,Yellow Perch,801,M,163,46,2014,Autumn
525,233,Yellow Perch,801,M,157,46,2014,Autumn
525,234,Yellow Perch,801,M,145,32,2014,Autumn
525,235,Yellow Perch,801,S,99,8,2014,Autumn
525,236,Yellow Perch,801,S,100,9,2014,Autumn
525,237,Yellow Perch,801,S,85,6,2014,Autumn
525,238,Yellow Perch,801,S,90,6,2014,Autumn
525,239,Yellow Perch,801,S,94,9,2014,Autumn
525,240,Freshwater Drum,134,S,150,30,2014,Autumn
525,241,Freshwater Drum,134,S,145,28,2014,Autumn
525,242,Freshwater Drum,134,S,146,29,2014,Autumn
525,243,Freshwater Drum,134,S,147,28,2014,Autumn
525,244,Gizzard Shad,108,ALL,162,40,2014,Autumn
525,245,Gizzard Shad,108,ALL,133,21,2014,Autumn
525,246,Gizzard Shad,108,ALL,128,18,2014,Autumn
525,247,Emerald Shiner,504,ALL,82,5,2014,Autumn
525,248,Rainbow Smelt,109,ALL,48,,2014,Autumn
525,249,Rainbow Smelt,109,ALL,48,,2014,Autumn
525,250,Rainbow Smelt,109,ALL,56,,2014,Autumn
525,251,Rainbow Smelt,109,ALL,52,,2014,Autumn
525,252,Rainbow Smelt,109,ALL,60,,2014,Autumn
525,253,Yellow Perch,801,O/D,195,86,2014,Autumn
525,254,White Perch,132,O/D,263,284,2014,Autumn
525,255,White Perch,132,O/D,262,302,2014,Autumn
525,256,White Perch,132,O/D,259,274,2014,Autumn
525,257,White Perch,132,O/D,234,204,2014,Autumn
525,258,White Perch,132,O/D,202,136,2014,Autumn
520,259,Quillback,403,ALL,497,2004,2014,Autumn
520,260,Quillback,403,ALL,385,860,2014,Autumn
520,261,Quillback,403,ALL,340,617,2014,Autumn
520,262,Quillback,403,ALL,363,748,2014,Autumn
520,263,Quillback,403,ALL,337,554,2014,Autumn
520,264,Freshwater Drum,134,L,538,1470,2014,Autumn
520,265,Freshwater Drum,134,M,430,849,2014,Autumn
520,266,Freshwater Drum,134,M,336,429,2014,Autumn
520,267,Freshwater Drum,134,M,322,341,2014,Autumn
520,268,Freshwater Drum,134,M,346,428,2014,Autumn
520,269,Freshwater Drum,134,M,234,132,2014,Autumn
520,270,White Bass,133,ALL,312,381,2014,Autumn
520,271,White Bass,133,ALL,286,304,2014,Autumn
520,272,White Bass,133,ALL,297,348,2014,Autumn
520,273,White Bass,133,ALL,296,364,2014,Autumn
520,274,White Bass,133,ALL,327,507,2014,Autumn
520,275,White Sucker,405,ALL,466,1024,2014,Autumn
520,276,White Sucker,405,ALL,523,1498,2014,Autumn
520,277,Channel Catfish,119,ALL,488,1155,2014,Autumn
520,278,Channel Catfish,119,ALL,245,109,2014,Autumn
520,279,Channel Catfish,119,ALL,302,236,2014,Autumn
520,280,Channel Catfish,119,ALL,403,534,2014,Autumn
520,281,Channel Catfish,119,ALL,367,370,2014,Autumn
520,282,Walleye,803,S,173,38,2014,Autumn
520,283,Walleye,803,S,202,64,2014,Autumn
520,284,Walleye,803,S,245,118,2014,Autumn
520,285,Walleye,803,S,158,31,2014,Autumn
520,286,Walleye,803,S,191,52,2014,Autumn
520,287,Walleye,803,L,554,1570,2014,Autumn
520,288,Walleye,803,M,363,449,2014,Autumn
520,289,Walleye,803,M,360,468,2014,Autumn
520,290,Walleye,803,M,326,292,2014,Autumn
520,291,Walleye,803,M,366,404,2014,Autumn
520,292,White Perch,132,L,241,217,2014,Autumn
520,293,White Perch,132,L,223,168,2014,Autumn
520,294,White Perch,132,L,222,158,2014,Autumn
520,295,White Perch,132,L,201,113,2014,Autumn
520,296,White Perch,132,L,183,78,2014,Autumn
520,297,White Perch,132,S,145,34,2014,Autumn
520,298,White Perch,132,S,128,23,2014,Autumn
520,299,Gizzard Shad,108,ALL,172,45,2014,Autumn
520,300,Gizzard Shad,108,ALL,139,23,2014,Autumn
520,301,Gizzard Shad,108,ALL,126,18,2014,Autumn
520,302,Gizzard Shad,108,ALL,137,22,2014,Autumn
520,303,Gizzard Shad,108,ALL,87,5,2014,Autumn
520,304,Spottail Shiner,508,ALL,85,5,2014,Autumn
520,305,Spottail Shiner,508,ALL,84,4,2014,Autumn
520,306,Spottail Shiner,508,ALL,87,6,2014,Autumn
520,307,White Perch,132,XS,76,5,2014,Autumn
520,308,White Perch,132,XS,96,10,2014,Autumn
520,309,White Perch,132,XS,83,6,2014,Autumn
520,310,White Perch,132,XS,86,7,2014,Autumn
520,311,White Perch,132,XS,77,5,2014,Autumn
520,312,Round Goby,910,ALL,63,3,2014,Autumn
520,313,Yellow Perch,801,S,104,9,2014,Autumn
520,314,Yellow Perch,801,S,88,7,2014,Autumn
520,315,Yellow Perch,801,S,97,9,2014,Autumn
520,316,Yellow Perch,801,S,94,7,2014,Autumn
520,317,Yellow Perch,801,S,84,5,2014,Autumn
520,318,Emerald Shiner,504,ALL,57,2,2014,Autumn
520,319,Emerald Shiner,504,ALL,60,2,2014,Autumn
520,320,Emerald Shiner,504,ALL,78,2,2014,Autumn
520,321,Emerald Shiner,504,ALL,68,2,2014,Autumn
520,322,Emerald Shiner,504,ALL,80,2,2014,Autumn
520,323,Rainbow Smelt,109,ALL,55,1,2014,Autumn
520,324,Rainbow Smelt,109,ALL,57,1,2014,Autumn
520,325,Rainbow Smelt,109,ALL,47,1,2014,Autumn
520,326,Rainbow Smelt,109,ALL,55,1,2014,Autumn
520,327,Rainbow Smelt,109,ALL,44,1,2014,Autumn
520,328,Rainbow Smelt,109,ALL,47,1,2014,Autumn
520,329,Yellow Perch,801,O/D,213,128,2014,Autumn
520,330,White Perch,132,O/D,274,334,2014,Autumn
520,331,White Perch,132,O/D,252,258,2014,Autumn
520,332,White Perch,132,O/D,241,234,2014,Autumn
520,333,White Perch,132,O/D,245,222,2014,Autumn
520,334,White Perch,132,O/D,211,118,2014,Autumn
512,335,Walleye,803,L,620,2408,2014,Autumn
512,336,Common Carp,402,ALL,668,5220,2014,Autumn
512,337,Common Carp,402,ALL,795,8500,2014,Autumn
512,338,Common Carp,402,ALL,795,8720,2014,Autumn
512,339,Common Carp,402,ALL,764,8260,2014,Autumn
512,340,Channel Catfish,119,ALL,494,1432,2014,Autumn
512,341,Channel Catfish,119,ALL,424,705,2014,Autumn
512,342,Channel Catfish,119,ALL,451,828,2014,Autumn
512,343,Channel Catfish,119,ALL,315,231,2014,Autumn
512,344,Channel Catfish,119,ALL,350,382,2014,Autumn
512,345,Freshwater Drum,134,ALL,291,271,2014,Autumn
512,346,Freshwater Drum,134,ALL,394,640,2014,Autumn
512,347,Freshwater Drum,134,ALL,237,150,2014,Autumn
512,348,Freshwater Drum,134,ALL,308,313,2014,Autumn
512,349,Freshwater Drum,134,ALL,365,512,2014,Autumn
512,350,Shorthead Redhorse,418,ALL,376,580,2014,Autumn
512,351,Shorthead Redhorse,418,ALL,456,1106,2014,Autumn
512,352,Shorthead Redhorse,418,ALL,425,756,2014,Autumn
512,353,White Sucker,405,ALL,336,448,2014,Autumn
512,354,White Sucker,405,ALL,282,264,2014,Autumn
512,355,White Sucker,405,ALL,388,695,2014,Autumn
512,356,White Sucker,405,ALL,273,219,2014,Autumn
512,357,White Sucker,405,ALL,282,246,2014,Autumn
512,358,White Sucker,405,ALL,293,271,2014,Autumn
512,359,Walleye,803,M,360,417,2014,Autumn
512,360,Walleye,803,M,479,905,2014,Autumn
512,361,Walleye,803,M,352,358,2014,Autumn
512,362,Walleye,803,M,425,716,2014,Autumn
512,363,Walleye,803,M,360,408,2014,Autumn
512,364,Round Goby,910,ALL,136,36,2014,Autumn
512,365,Round Goby,910,ALL,145,44,2014,Autumn
512,366,Round Goby,910,ALL,127,29,2014,Autumn
512,367,Round Goby,910,ALL,106,18,2014,Autumn
512,368,Round Goby,910,ALL,99,13,2014,Autumn
512,369,White Perch,132,XS,90,9,2014,Autumn
512,370,White Perch,132,XS,83,6,2014,Autumn
512,371,White Perch,132,XS,86,6,2014,Autumn
512,372,White Perch,132,XS,87,8,2014,Autumn
512,373,White Perch,132,XS,84,6,2014,Autumn
512,374,White Perch,132,S,159,46,2014,Autumn
512,375,White Perch,132,S,178,70,2014,Autumn
512,376,White Perch,132,S,160,53,2014,Autumn
512,377,White Perch,132,S,121,22,2014,Autumn
512,378,White Perch,132,S,166,58,2014,Autumn
512,379,White Perch,132,M,207,117,2014,Autumn
512,380,White Perch,132,M,197,101,2014,Autumn
512,381,White Perch,132,M,186,82,2014,Autumn
512,382,White Perch,132,M,197,106,2014,Autumn
512,383,White Perch,132,M,190,94,2014,Autumn
512,384,White Perch,132,L,232,194,2014,Autumn
512,385,White Perch,132,L,211,137,2014,Autumn
512,386,White Perch,132,L,260,272,2014,Autumn
512,387,White Perch,132,L,235,181,2014,Autumn
512,388,White Perch,132,L,249,198,2014,Autumn
512,389,White Perch,132,XL,332,442,2014,Autumn
512,390,White Perch,132,XL,300,327,2014,Autumn
512,391,White Perch,132,XL,290,306,2014,Autumn
512,392,Walleye,803,S,175,39,2014,Autumn
512,393,Walleye,803,S,205,62,2014,Autumn
512,394,Walleye,803,S,197,55,2014,Autumn
512,395,Walleye,803,S,192,51,2014,Autumn
512,396,Yellow Perch,801,S,94,7,2014,Autumn
512,397,Yellow Perch,801,S,100,10,2014,Autumn
512,398,Yellow Perch,801,S,88,6,2014,Autumn
512,399,Yellow Perch,801,S,94,7,2014,Autumn
512,400,Yellow Perch,801,S,75,5,2014,Autumn
512,401,Gizzard Shad,108,ALL,147,20,2014,Autumn
512,402,Spottail Shiner,508,ALL,77,5,2014,Autumn
512,403,Spottail Shiner,508,ALL,77,4,2014,Autumn
512,404,Spottail Shiner,508,ALL,76,4,2014,Autumn
512,405,Trout Perch,131,ALL,113,13,2014,Autumn
512,406,Trout Perch,131,ALL,84,4,2014,Autumn
512,407,Yellow Perch,801,O/D,192,74,2014,Autumn
512,408,Yellow Perch,801,O/D,188,68,2014,Autumn
512,409,Yellow Perch,801,O/D,186,68,2014,Autumn
512,410,Yellow Perch,801,O/D,174,56,2014,Autumn
512,411,Yellow Perch,801,O/D,173,52,2014,Autumn
512,412,White Perch,132,O/D,266,304,2014,Autumn
512,413,White Perch,132,O/D,233,198,2014,Autumn
512,414,White Perch,132,O/D,228,180,2014,Autumn
512,415,White Perch,132,O/D,214,142,2014,Autumn
512,416,White Perch,132,O/D,204,116,2014,Autumn
513,417,Walleye,803,L,542,1354,2014,Autumn
513,418,Walleye,803,M,433,723,2014,Autumn
513,419,Walleye,803,M,452,876,2014,Autumn
513,420,Walleye,803,M,361,364,2014,Autumn
513,421,Walleye,803,M,352,367,2014,Autumn
513,422,Walleye,803,M,414,635,2014,Autumn
513,423,Channel Catfish,119,ALL,405,590,2014,Autumn
513,424,Channel Catfish,119,ALL,271,132,2014,Autumn
513,425,Channel Catfish,119,ALL,460,895,2014,Autumn
513,426,Channel Catfish,119,ALL,285,191,2014,Autumn
513,427,Channel Catfish,119,ALL,252,131,2014,Autumn
513,428,White Bass,133,L,271,256,2014,Autumn
513,429,Freshwater Drum,134,M,351,449,2014,Autumn
513,430,Freshwater Drum,134,M,410,660,2014,Autumn
513,431,Freshwater Drum,134,M,245,142,2014,Autumn
513,432,Freshwater Drum,134,M,304,298,2014,Autumn
513,433,Freshwater Drum,134,M,297,227,2014,Autumn
513,434,Freshwater Drum,134,L,523,1640,2014,Autumn
513,435,Freshwater Drum,134,L,707,3380,2014,Autumn
513,436,Freshwater Drum,134,L,668,3806,2014,Autumn
513,437,Freshwater Drum,134,L,600,2225,2014,Autumn
513,438,Freshwater Drum,134,L,441,1026,2014,Autumn
513,439,White Perch,132,M,178,75,2014,Autumn
513,440,White Perch,132,M,186,83,2014,Autumn
513,441,White Perch,132,M,184,76,2014,Autumn
513,442,White Perch,132,M,172,66,2014,Autumn
513,443,White Perch,132,M,133,23,2014,Autumn
513,444,White Perch,132,S,85,5,2014,Autumn
513,445,White Perch,132,S,85,5,2014,Autumn
513,446,White Perch,132,S,84,7,2014,Autumn
513,447,White Perch,132,S,80,7,2014,Autumn
513,448,White Perch,132,S,90,9,2014,Autumn
513,449,Trout Perch,131,L,105,9,2014,Autumn
513,450,Trout Perch,131,L,116,14,2014,Autumn
513,451,Trout Perch,131,L,106,9,2014,Autumn
513,452,Trout Perch,131,L,112,12,2014,Autumn
513,453,Trout Perch,131,L,106,10,2014,Autumn
513,454,Trout Perch,131,S,74,4,2014,Autumn
513,455,Trout Perch,131,S,86,5,2014,Autumn
513,456,Walleye,803,S,197,53,2014,Autumn
513,457,Walleye,803,S,175,40,2014,Autumn
513,458,Walleye,803,S,173,40,2014,Autumn
513,459,Walleye,803,S,164,32,2014,Autumn
513,460,Walleye,803,S,190,48,2014,Autumn
513,461,Yellow Perch,801,M,170,49,2014,Autumn
513,462,Yellow Perch,801,M,153,34,2014,Autumn
513,463,Yellow Perch,801,M,160,39,2014,Autumn
513,464,Yellow Perch,801,M,162,37,2014,Autumn
513,465,Yellow Perch,801,M,155,35,2014,Autumn
513,466,Yellow Perch,801,S,94,7,2014,Autumn
513,467,Yellow Perch,801,S,104,14,2014,Autumn
513,468,Yellow Perch,801,S,89,4,2014,Autumn
513,469,Yellow Perch,801,S,93,7,2014,Autumn
513,470,Yellow Perch,801,S,90,6,2014,Autumn
513,471,Round Goby,910,ALL,90,9,2014,Autumn
513,472,Round Goby,910,ALL,66,3,2014,Autumn
513,473,White Bass,133,S,74,4,2014,Autumn
513,474,Emerald Shiner,504,ALL,57,3,2014,Autumn
513,475,Emerald Shiner,504,ALL,50,1,2014,Autumn
513,476,Emerald Shiner,504,ALL,91,6,2014,Autumn
513,477,Emerald Shiner,504,ALL,85,3,2014,Autumn
513,478,Emerald Shiner,504,ALL,84,3,2014,Autumn
513,479,Gizzard Shad,108,S,107,11,2014,Autumn
513,480,Gizzard Shad,108,S,76,4,2014,Autumn
513,481,Gizzard Shad,108,S,102,10,2014,Autumn
513,482,Gizzard Shad,108,S,95,8,2014,Autumn
513,483,Gizzard Shad,108,S,85,5,2014,Autumn
513,484,Gizzard Shad,108,M,120,14,2014,Autumn
513,485,Gizzard Shad,108,M,138,25,2014,Autumn
513,486,Gizzard Shad,108,M,122,16,2014,Autumn
513,487,Gizzard Shad,108,M,126,14,2014,Autumn
513,488,Gizzard Shad,108,M,117,13,2014,Autumn
513,489,Gizzard Shad,108,L,170,45,2014,Autumn
513,490,Gizzard Shad,108,L,153,35,2014,Autumn
513,491,Gizzard Shad,108,L,162,34,2014,Autumn
513,492,Gizzard Shad,108,L,155,34,2014,Autumn
513,493,Gizzard Shad,108,L,145,29,2014,Autumn
513,494,Yellow Perch,801,O/D,199,100,2014,Autumn
513,495,Yellow Perch,801,O/D,201,94,2014,Autumn
513,496,Yellow Perch,801,O/D,196,80,2014,Autumn
513,497,Yellow Perch,801,O/D,199,86,2014,Autumn
513,498,Yellow Perch,801,O/D,177,48,2014,Autumn
513,499,White Perch,132,O/D,250,248,2014,Autumn
513,500,White Perch,132,O/D,211,124,2014,Autumn
513,501,White Perch,132,O/D,192,104,2014,Autumn
513,502,White Perch,132,O/D,199,102,2014,Autumn
513,503,White Perch,132,O/D,193,96,2014,Autumn
