Serial,date,time_st,Depth_Factor,n,Depth_Mean,Depth_Std.Dev,Depth_CV,Temp_Mean,Temp_Std.Dev,Temp_CV,SpCond_Mean,SpCond_Std.Dev,spCond_CV,pH_Mean,pH_Std.Dev,pH_CV,Turbitity_Mean,Turbitity_Std.Dev,Turbitity_CV,Chlor_Mean,Chlor_Std.Dev,Chlor_CV,DOpercent_Mean,DOpercent_Std.Dev,DOpercent_CV,DOppm_Mean,DOppm_Std.Dev,DOppm_CV,year,season
105,6/18/2013,1713,"[7,8)",3,7,0.232,0.031,19.867,0.04,0.002,0.238,0.001,0.004,8.25,0,0,7.367,0.208,0.028,0.467,0.551,1.18,104.033,0.058,0.001,9.483,0.006,0.001,2013,Spring
105,6/18/2013,1713,"[8,9)",3,8,0.087,0.01,19.77,0.02,0.001,0.238,0.001,0.004,8.247,0.006,0.001,7.233,0.416,0.058,0.167,0.971,5.814,103.833,0.153,0.001,9.477,0.012,0.001,2013,Spring
106,6/18/2013,1340,"[0,1)",129,0,0.104,1,18.103,0.375,0.021,0.007,0.037,5.286,8.166,0.042,0.005,59.117,68.369,1.157,3.371,3.352,0.994,91.657,1.062,0.012,8.662,0.141,0.016,2013,Spring
106,6/18/2013,1340,"[1,2)",3,1,0.031,0.018,19.657,0.114,0.006,0.276,0.001,0.004,8.173,0.006,0.001,12.233,2.937,0.24,3.6,1.3,0.361,96.667,0.95,0.01,8.847,0.07,0.008,2013,Spring
106,6/18/2013,1340,"[2,3)",5,2,0.337,0.139,19.802,0.008,0,0.275,0,0,8.198,0.008,0.001,9,0.173,0.019,4.5,0.758,0.168,100.16,1.222,0.012,9.136,0.111,0.012,2013,Spring
106,6/18/2013,1340,"[3,4)",8,3,0.31,0.084,19.802,0.009,0,0.275,0,0,8.224,0.012,0.001,9.088,0.247,0.027,4.625,1.337,0.289,103.975,1.139,0.011,9.484,0.108,0.011,2013,Spring
106,6/18/2013,1340,"[4,5)",5,4,0.279,0.064,19.788,0.013,0.001,0.276,0.001,0.004,8.24,0.007,0.001,9.96,1.574,0.158,4.4,1.699,0.386,105.98,0.653,0.006,9.672,0.061,0.006,2013,Spring
106,6/18/2013,1340,"[5,6)",7,5,0.267,0.048,19.736,0.011,0.001,0.276,0,0,8.254,0.005,0.001,9.271,0.325,0.035,4.271,1.151,0.269,107.157,0.215,0.002,9.789,0.02,0.002,2013,Spring
106,6/18/2013,1340,"[6,7)",3,6,0.26,0.04,19.723,0.006,0,0.277,0.001,0.004,8.26,0,0,9.133,0.351,0.038,3.267,4.041,1.237,107.6,0.1,0.001,9.83,0.01,0.001,2013,Spring
106,6/18/2013,1340,"[7,8)",3,7,0.305,0.041,19.69,0.01,0.001,0.278,0,0,8.26,0,0,9.167,0.058,0.006,4.533,1.986,0.438,107.8,0,0,9.86,0,0,2013,Spring
106,6/18/2013,1340,"[8,9)",4,8,0.407,0.048,19.628,0.035,0.002,0.28,0,0,8.26,0,0,9.575,0.222,0.023,4.675,1.468,0.314,107.825,0.05,0,9.87,0.012,0.001,2013,Spring
106,6/18/2013,1340,"[9,10)",1,9,,,19.55,,,0.277,,,8.27,,,439.5,,,-1.3,,,107.7,,,9.87,,,2013,Spring
107,6/18/2013,1257,"[0,1)",46,0,0.322,0.856,18.452,0.924,0.05,0.135,0.105,0.778,8.196,0.067,0.008,616.393,3.83,0.006,7.5,0,0,93.128,1.139,0.012,8.737,0.275,0.031,2013,Spring
107,6/18/2013,1257,"[1,2)",9,1,0.263,0.21,19.322,0.067,0.003,0.229,0.001,0.004,8.243,0.005,0.001,350.367,320.054,0.913,4.522,3.806,0.842,95.867,5.775,0.06,8.828,0.544,0.062,2013,Spring
107,6/18/2013,1257,"[2,3)",3,2,0.399,0.165,19.21,0.01,0.001,0.228,0,0,8.25,0,0,13,0,0,-0.6,0.872,-1.453,103.567,0.058,0.001,9.563,0.006,0.001,2013,Spring
107,6/18/2013,1257,"[3,4)",3,3,0.325,0.094,19.173,0.04,0.002,0.227,0.001,0.004,8.253,0.006,0.001,13.467,0.808,0.06,-1.133,1.155,-1.019,103.6,0,0,9.57,0.01,0.001,2013,Spring
107,6/18/2013,1257,"[4,5)",3,4,0.15,0.033,19.063,0.025,0.001,0.227,0,0,8.26,0,0,11.733,0.058,0.005,1.567,2.85,1.819,103.5,0,0,9.587,0.006,0.001,2013,Spring
107,6/18/2013,1257,"[5,6)",3,5,0.313,0.057,19.003,0.023,0.001,0.226,0.001,0.004,8.26,0,0,12.067,0.666,0.055,0.533,1.976,3.707,103.533,0.058,0.001,9.597,0.006,0.001,2013,Spring
107,6/18/2013,1257,"[6,7)",3,6,0.334,0.051,18.94,0.02,0.001,0.227,0.001,0.004,8.26,0,0,13.833,2.159,0.156,-0.1,0.866,-8.66,103.5,0,0,9.61,0.01,0.001,2013,Spring
107,6/18/2013,1257,"[7,8)",2,7,0.088,0.012,18.905,0.007,0,0.226,0,0,8.26,0,0,29.45,22.981,0.78,2,0.141,0.07,103.5,0,0,9.615,0.007,0.001,2013,Spring
108,6/17/2013,1539,"[0,1)",14,0,0.283,1.348,21.532,0.244,0.011,0.131,0.136,1.038,7.84,0.152,0.019,5.807,2.733,0.471,13.05,44.893,3.44,85.371,4.34,0.051,7.529,0.351,0.047,2013,Spring
108,6/17/2013,1539,"[1,2)",10,1,0.262,0.163,22.284,0.189,0.008,0.273,0.001,0.004,8.122,0.034,0.004,7.82,0.181,0.023,2.2,1.815,0.825,101.36,3.939,0.039,8.809,0.317,0.036,2013,Spring
108,6/17/2013,1539,"[2,3)",4,2,0.275,0.104,21.823,0.421,0.019,0.273,0.001,0.004,8.205,0.026,0.003,8.175,0.359,0.044,2.85,1.593,0.559,108.65,0.777,0.007,9.527,0.145,0.015,2013,Spring
108,6/17/2013,1539,"[3,4)",5,3,0.341,0.097,20.778,0.18,0.009,0.279,0.002,0.007,8.28,0.025,0.003,8.68,0.37,0.043,5.38,2.508,0.466,111.2,0.854,0.008,9.952,0.113,0.011,2013,Spring
108,6/17/2013,1539,"[4,5)",6,4,0.35,0.076,20.457,0.054,0.003,0.284,0.001,0.004,8.333,0.008,0.001,8.983,0.286,0.032,10.417,1.907,0.183,114.5,1.103,0.01,10.31,0.11,0.011,2013,Spring
108,6/17/2013,1539,"[5,6)",5,5,0.25,0.045,20.356,0.021,0.001,0.287,0.001,0.003,8.34,0,0,9.02,0.205,0.023,10.36,2.991,0.289,116.64,0.241,0.002,10.522,0.028,0.003,2013,Spring
108,6/17/2013,1539,"[6,7)",6,6,0.295,0.046,20.248,0.063,0.003,0.287,0.001,0.003,8.32,0.013,0.002,9.183,0.286,0.031,7.1,2.309,0.325,116.6,0.245,0.002,10.542,0.008,0.001,2013,Spring
108,6/17/2013,1539,"[7,8)",6,7,0.307,0.041,19.888,0.106,0.005,0.289,0,0,8.277,0.012,0.001,11.25,1.129,0.1,8.283,4.959,0.599,113.8,1.424,0.013,10.363,0.105,0.01,2013,Spring
108,6/17/2013,1539,"[8,9)",7,8,0.18,0.021,19.734,0.013,0.001,0.289,0.001,0.003,8.239,0.009,0.001,20.814,17.755,0.853,16.286,5.694,0.35,108.643,1.691,0.016,9.92,0.152,0.015,2013,Spring
109,6/17/2013,1737,"[0,1)",33,0,0.168,1.4,22.38,0.422,0.019,0.119,0.087,0.731,7.815,0.098,0.013,41.358,32.626,0.789,11.248,46.542,4.138,75.382,2.336,0.031,6.543,0.256,0.039,2013,Spring
109,6/17/2013,1737,"[1,2)",5,1,0.372,0.249,21.398,0.029,0.001,0.243,0,0,8.066,0.013,0.002,7.46,0.541,0.073,2.12,1.329,0.627,86.72,2.04,0.024,7.668,0.188,0.025,2013,Spring
109,6/17/2013,1737,"[2,3)",7,2,0.156,0.062,21.247,0.088,0.004,0.243,0,0,8.103,0.011,0.001,7.257,0.526,0.072,0.9,1.865,2.072,93.657,2.208,0.024,8.304,0.21,0.025,2013,Spring
109,6/17/2013,1737,"[3,4)",4,3,0.271,0.081,20.69,0.18,0.009,0.242,0.002,0.008,8.14,0.014,0.002,7.65,1.103,0.144,1.975,1.443,0.731,98,0.627,0.006,8.783,0.082,0.009,2013,Spring
109,6/17/2013,1737,"[4,5)",5,4,0.348,0.079,19.982,0.241,0.012,0.242,0.001,0.004,8.174,0.011,0.001,7.22,0.148,0.02,1.4,2.314,1.653,99.9,0.624,0.006,9.08,0.1,0.011,2013,Spring
109,6/17/2013,1737,"[5,6)",4,5,0.276,0.051,19.58,0.12,0.006,0.243,0,0,8.19,0,0,7.325,0.096,0.013,3.85,2.639,0.685,101.25,0.387,0.004,9.28,0.052,0.006,2013,Spring
109,6/17/2013,1737,"[6,7)",5,6,0.326,0.05,19.176,0.116,0.006,0.244,0.001,0.004,8.19,0.007,0.001,7.62,0.259,0.034,4.32,0.853,0.197,102.04,0.182,0.002,9.428,0.039,0.004,2013,Spring
109,6/17/2013,1737,"[7,8)",6,7,0.344,0.045,18.978,0.031,0.002,0.246,0.001,0.004,8.175,0.005,0.001,8.217,0.512,0.062,3.95,1.075,0.272,102.083,0.194,0.002,9.47,0.013,0.001,2013,Spring
109,6/17/2013,1737,"[8,9)",5,8,0.302,0.035,18.906,0.024,0.001,0.246,0,0,8.154,0.005,0.001,10.8,1.03,0.095,3.56,3.235,0.909,101.22,0.303,0.003,9.404,0.027,0.003,2013,Spring
109,6/17/2013,1737,"[9,10)",5,9,0.155,0.016,18.864,0.005,0,0.246,0,0,8.136,0.005,0.001,22.74,29.319,1.289,9.38,6.591,0.703,99.8,0.539,0.005,9.28,0.047,0.005,2013,Spring
110,6/18/2013,1110,"[0,1)",33,0,0.228,0.958,18.082,0.859,0.048,0.09,0.118,1.311,8.286,0.033,0.004,-147.912,97.346,-0.658,4.885,6.16,1.261,96.427,1.851,0.019,9.113,0.144,0.016,2013,Spring
110,6/18/2013,1110,"[1,2)",11,1,0.294,0.2,19.367,0.005,0,0.242,0,0,8.281,0.003,0,8.155,0.163,0.02,0.227,1.155,5.088,100.627,0.436,0.004,9.258,0.04,0.004,2013,Spring
110,6/18/2013,1110,"[2,3)",9,2,0.21,0.082,19.362,0.004,0,0.242,0,0,8.28,0,0,8.056,0.181,0.022,0.778,1.803,2.317,101.3,0.071,0.001,9.321,0.008,0.001,2013,Spring
110,6/18/2013,1110,"[3,4)",7,3,0.334,0.095,19.326,0.018,0.001,0.242,0,0,8.276,0.005,0.001,8.4,0.44,0.052,0.943,1.107,1.174,101.529,0.076,0.001,9.351,0.007,0.001,2013,Spring
110,6/18/2013,1110,"[4,5)",4,4,0.31,0.067,19.31,0,0,0.242,0,0,8.273,0.005,0.001,8.375,0.189,0.023,1.25,1.7,1.36,101.425,0.05,0,9.345,0.006,0.001,2013,Spring
110,6/18/2013,1110,"[5,6)",5,5,0.349,0.063,19.304,0.005,0,0.242,0,0,8.274,0.005,0.001,8.22,0.228,0.028,1.86,2.135,1.148,101.28,0.084,0.001,9.332,0.004,0,2013,Spring
110,6/18/2013,1110,"[6,7)",4,6,0.192,0.029,19.25,0.024,0.001,0.242,0.001,0.004,8.277,0.005,0.001,8.35,0.1,0.012,0.55,1.008,1.833,101.225,0.05,0,9.338,0.005,0.001,2013,Spring
110,6/18/2013,1110,"[7,8)",4,7,0.213,0.028,19.185,0.024,0.001,0.241,0,0,8.273,0.005,0.001,8.8,0.876,0.1,1.475,1.52,1.031,101.05,0.058,0.001,9.332,0.005,0.001,2013,Spring
110,6/18/2013,1110,"[8,9)",4,8,0.216,0.026,19.05,0.057,0.003,0.24,0,0,8.27,0,0,8.7,0.082,0.009,0.35,1.563,4.466,100.75,0.129,0.001,9.33,0.008,0.001,2013,Spring
110,6/18/2013,1110,"[9,10)",10,9,0.344,0.036,18.397,0.175,0.01,0.238,0.001,0.004,8.253,0.013,0.002,203.65,430.245,2.113,1.69,2.358,1.395,98.83,1.107,0.011,9.275,0.082,0.009,2013,Spring
111,6/18/2013,1219,"[0,1)",30,0,0.229,0.83,18.516,1.305,0.07,0.109,0.118,1.083,8.194,0.082,0.01,16.623,27.744,1.669,9.747,26.532,2.722,94.683,3.045,0.032,8.868,0.173,0.02,2013,Spring
111,6/18/2013,1219,"[1,2)",5,1,0.341,0.217,20.14,0,0,0.243,0,0,8.282,0.004,0,9.62,1.182,0.123,1.3,1.344,1.034,101.54,0.297,0.003,9.202,0.028,0.003,2013,Spring
111,6/18/2013,1219,"[2,3)",4,2,0.243,0.092,20.13,0,0,0.242,0.001,0.004,8.287,0.005,0.001,9.025,0.096,0.011,1.8,0.891,0.495,102.1,0.141,0.001,9.252,0.01,0.001,2013,Spring
111,6/18/2013,1219,"[3,4)",5,3,0.309,0.09,20.114,0.018,0.001,0.243,0.001,0.004,8.29,0,0,8.82,0.335,0.038,1.62,1.199,0.74,102.42,0.084,0.001,9.284,0.011,0.001,2013,Spring
111,6/18/2013,1219,"[4,5)",11,4,0.222,0.049,20.058,0.015,0.001,0.242,0,0,8.305,0.007,0.001,9.082,0.343,0.038,2.627,1.695,0.645,102.682,0.14,0.001,9.321,0.014,0.002,2013,Spring
111,6/18/2013,1219,"[5,6)",5,5,0.31,0.056,20.008,0.024,0.001,0.242,0,0,8.312,0.004,0,9.36,0.114,0.012,2.96,1.888,0.638,102.9,0.071,0.001,9.348,0.008,0.001,2013,Spring
111,6/18/2013,1219,"[6,7)",4,6,0.4,0.061,19.935,0.037,0.002,0.242,0,0,8.315,0.006,0.001,9.6,0.408,0.042,1.025,2.029,1.98,102.95,0.058,0.001,9.367,0.005,0.001,2013,Spring
111,6/18/2013,1219,"[7,8)",5,7,0.297,0.039,19.5,0.421,0.022,0.237,0.004,0.017,8.326,0.005,0.001,12.28,2.061,0.168,0.98,2.713,2.768,102.6,0.255,0.002,9.418,0.057,0.006,2013,Spring
111,6/18/2013,1219,"[8,9)",3,8,0.043,0.005,19.073,0.309,0.016,0.233,0.002,0.009,8.32,0.01,0.001,15.467,0.603,0.039,2.967,3.63,1.223,102,0.458,0.004,9.44,0.02,0.002,2013,Spring
112,6/17/2013,1253,"[0,1)",83,0,0.169,1.432,21.947,0.368,0.017,0.136,0.095,0.699,7.816,0.07,0.009,55.372,57.568,1.04,1.523,2.924,1.92,81.512,3.982,0.049,7.133,0.359,0.05,2013,Spring
112,6/17/2013,1253,"[1,2)",4,1,0.299,0.197,22.23,0.295,0.013,0.282,0.001,0.004,8.04,0.018,0.002,8.4,0.141,0.017,2.925,2.615,0.894,97.6,1.163,0.012,8.49,0.147,0.017,2013,Spring
112,6/17/2013,1253,"[2,3)",5,2,0.26,0.105,21.424,0.173,0.008,0.283,0.001,0.004,8.106,0.021,0.003,9.16,0.555,0.061,6.96,3.94,0.566,101.08,1.031,0.01,8.93,0.119,0.013,2013,Spring
112,6/17/2013,1253,"[3,4)",4,3,0.349,0.102,21.17,0.044,0.002,0.284,0,0,8.152,0.01,0.001,9.275,0.206,0.022,4.925,2.865,0.582,103.325,0.556,0.005,9.178,0.061,0.007,2013,Spring
112,6/17/2013,1253,"[4,5)",3,4,0.291,0.065,21.067,0.035,0.002,0.283,0,0,8.17,0,0,9.133,0.379,0.041,1.067,1.68,1.575,104.867,0.451,0.004,9.333,0.04,0.004,2013,Spring
112,6/17/2013,1253,"[5,6)",3,5,0.318,0.058,20.973,0.035,0.002,0.282,0.001,0.004,8.177,0.006,0.001,9.233,0.115,0.012,7.533,6.133,0.814,105.7,0.2,0.002,9.427,0.025,0.003,2013,Spring
112,6/17/2013,1253,"[6,7)",23,6,0.278,0.042,20.729,0.057,0.003,0.282,0.001,0.004,8.164,0.005,0.001,30.461,54.52,1.79,5.326,2.455,0.461,104.735,0.969,0.009,9.38,0.08,0.009,2013,Spring
113,6/17/2013,1443,"[0,1)",28,0,0.202,1.01,22.14,0.59,0.027,0.153,0.109,0.712,7.834,0.132,0.017,123.443,0.448,0.004,3.2,0,0,81.043,0.632,0.008,7.067,0.135,0.019,2013,Spring
113,6/17/2013,1443,"[1,2)",4,1,0.306,0.187,21.043,0.296,0.014,0.264,0,0,8.08,0.018,0.002,122.625,0.222,0.002,3.2,0,0,82.25,0.311,0.004,7.32,0.073,0.01,2013,Spring
113,6/17/2013,1443,"[2,3)",7,2,0.289,0.116,20.5,0.068,0.003,0.266,0.001,0.004,8.121,0.012,0.001,122.186,0.069,0.001,3.2,0,0,82.814,0.09,0.001,7.45,0.019,0.003,2013,Spring
113,6/17/2013,1443,"[3,4)",3,3,0.332,0.094,20.27,0.118,0.006,0.269,0.001,0.004,8.14,0,0,122,0.1,0.001,3.2,0,0,83.067,0.153,0.002,7.51,0.026,0.003,2013,Spring
113,6/17/2013,1443,"[4,5)",4,4,0.352,0.079,20.032,0.105,0.005,0.273,0.001,0.004,8.123,0.01,0.001,121.85,0.058,0,3.2,0,0,83.325,0.096,0.001,7.567,0.022,0.003,2013,Spring
113,6/17/2013,1443,"[5,6)",4,5,0.346,0.063,19.845,0.026,0.001,0.275,0,0,8.1,0.008,0.001,37,56.467,1.526,8.825,5.473,0.62,92.525,10.421,0.113,8.435,0.958,0.114,2013,Spring
113,6/17/2013,1443,"[6,7)",3,6,0.217,0.034,19.773,0.015,0.001,0.275,0,0,8.087,0.006,0.001,9.267,0.115,0.012,3.733,4.366,1.17,101.133,0.252,0.002,9.233,0.025,0.003,2013,Spring
113,6/17/2013,1443,"[7,8)",4,7,0.355,0.047,19.705,0.026,0.001,0.275,0,0,8.07,0,0,9.575,0.35,0.037,9.625,1.607,0.167,100.25,0.311,0.003,9.165,0.024,0.003,2013,Spring
113,6/17/2013,1443,"[8,9)",4,8,0.358,0.042,19.63,0.026,0.001,0.276,0,0,8.06,0,0,10.875,0.772,0.071,5.075,1.78,0.351,99.1,0.392,0.004,9.07,0.026,0.003,2013,Spring
113,6/17/2013,1443,"[9,10)",3,9,0.132,0.014,19.577,0.012,0.001,0.276,0,0,8.043,0.006,0.001,47.267,59.699,1.263,14.267,9.84,0.69,97.8,0.4,0.004,8.963,0.035,0.004,2013,Spring
114,6/17/2013,1834,"[0,1)",10,0,0.302,0.858,21.154,0.134,0.006,0.252,0.001,0.004,8.068,0.011,0.001,812.26,0.755,0.001,2.1,0,0,74.77,0.125,0.002,6.641,0.028,0.004,2013,Spring
114,6/17/2013,1834,"[1,2)",3,1,0.284,0.177,21.39,0.01,0,0.252,0,0,8.093,0.006,0.001,813.6,0.1,0,2.1,0,0,74.5,0,0,6.59,0,0,2013,Spring
114,6/17/2013,1834,"[2,3)",4,2,0.326,0.126,21.378,0.034,0.002,0.252,0.001,0.004,8.105,0.006,0.001,813.5,0.183,0,2.1,0,0,74.55,0.058,0.001,6.593,0.01,0.002,2013,Spring
114,6/17/2013,1834,"[3,4)",4,3,0.244,0.069,21.335,0.006,0,0.252,0.001,0.004,8.117,0.005,0.001,813.25,0.058,0,2.1,0,0,74.6,0,0,6.6,0,0,2013,Spring
