serial,species,life_stage,NperHA,KgperHA,year,season
112,Channel Catfish,YAO,7.84,7.64,2014,Spring
112,Channel Catfish,YOY,0.05,0.05,2014,Spring
113,Channel Catfish,YAO,34.96,14.18,2014,Spring
116,Channel Catfish,YAO,3.25,2.71,2014,Spring
117,Channel Catfish,YAO,4.52,4.95,2014,Spring
119,Channel Catfish,YAO,4.35,1.03,2014,Spring
119,Channel Catfish,YOY,0.02,0.01,2014,Spring
120,Channel Catfish,YAO,36.71,21.13,2014,Spring
121,Channel Catfish,YAO,61.67,34.4,2014,Spring
121,Channel Catfish,YOY,0.17,0.1,2014,Spring
122,Channel Catfish,YAO,1.65,1.05,2014,Spring
124,Channel Catfish,YAO,17.85,10.58,2014,Spring
124,Channel Catfish,YOY,0.03,0.02,2014,Spring
125,Channel Catfish,YAO,5.83,2.5,2014,Spring
126,Channel Catfish,YAO,9.84,2.24,2014,Spring
126,Channel Catfish,YOY,0.11,0.03,2014,Spring
129,Channel Catfish,YAO,9.76,2.16,2014,Spring
131,Channel Catfish,YAO,1.44,0.69,2014,Spring
135,Channel Catfish,YAO,1.4,0.04,2014,Spring
138,Channel Catfish,ALL,0,0.01,2014,Spring
138,Channel Catfish,YAO,4.47,12.5,2014,Spring
138,Channel Catfish,YOY,0.02,0.06,2014,Spring
501,Channel Catfish,YAO,5.59,3.59,2014,Autumn
502,Channel Catfish,YAO,29.38,11,2014,Autumn
502,Channel Catfish,YOY,0.05,0.02,2014,Autumn
504,Channel Catfish,YAO,36.06,15.35,2014,Autumn
508,Channel Catfish,YAO,7.88,4.92,2014,Autumn
508,Channel Catfish,YOY,0.01,0.01,2014,Autumn
512,Channel Catfish,YAO,47.62,34.07,2014,Autumn
513,Channel Catfish,YAO,10.22,3.96,2014,Autumn
513,Channel Catfish,YOY,0.08,0.03,2014,Autumn
514,Channel Catfish,YAO,1.64,0.94,2014,Autumn
516,Channel Catfish,YAO,3.39,1.1,2014,Autumn
516,Channel Catfish,YOY,0.01,0,2014,Autumn
517,Channel Catfish,YAO,53.38,31.5,2014,Autumn
517,Channel Catfish,YOY,0.01,0.01,2014,Autumn
518,Channel Catfish,YAO,1.75,2.64,2014,Autumn
519,Channel Catfish,YAO,10.3,6.86,2014,Autumn
520,Channel Catfish,YAO,9.9,4.76,2014,Autumn
520,Channel Catfish,YOY,0.04,0.02,2014,Autumn
522,Channel Catfish,YAO,1.74,1.14,2014,Autumn
524,Channel Catfish,YAO,4.99,5.32,2014,Autumn
525,Channel Catfish,YAO,10.62,3.79,2014,Autumn
526,Channel Catfish,YAO,25.82,13.07,2014,Autumn
526,Channel Catfish,YOY,0.03,0.01,2014,Autumn
527,Channel Catfish,YAO,1.47,2.1,2014,Autumn
529,Channel Catfish,YAO,48.67,33.99,2014,Autumn
529,Channel Catfish,YOY,0.12,0.03,2014,Autumn
530,Channel Catfish,YAO,1.56,0.12,2014,Autumn
531,Channel Catfish,YAO,4.19,1.98,2014,Autumn
532,Channel Catfish,YAO,1.52,0.59,2014,Autumn
533,Channel Catfish,YAO,1.57,1.56,2014,Autumn
534,Channel Catfish,YAO,9.59,2.57,2014,Autumn
102,Channel Catfish,YAO,2.09,1.96,2013,Spring
104,Channel Catfish,YAO,30.78,8.71,2013,Spring
107,Channel Catfish,YAO,1.97,1.38,2013,Spring
108,Channel Catfish,YAO,2.16,0.52,2013,Spring
109,Channel Catfish,YAO,6.65,1.13,2013,Spring
111,Channel Catfish,YAO,3.78,3.29,2013,Spring
112,Channel Catfish,YAO,32.83,19.26,2013,Spring
113,Channel Catfish,YAO,3.97,2.75,2013,Spring
117,Channel Catfish,YAO,6.08,3.3,2013,Spring
119,Channel Catfish,YAO,3.65,0.39,2013,Spring
120,Channel Catfish,YAO,2.15,1.34,2013,Spring
122,Channel Catfish,YAO,3.26,4.99,2013,Spring
124,Channel Catfish,YAO,4.13,2.47,2013,Spring
125,Channel Catfish,YAO,4.17,0.8,2013,Spring
126,Channel Catfish,YAO,1.92,1.79,2013,Spring
127,Channel Catfish,YAO,1.85,1.55,2013,Spring
129,Channel Catfish,YAO,4.23,1.14,2013,Spring
130,Channel Catfish,YAO,7.91,1.88,2013,Spring
134,Channel Catfish,YAO,5.73,1.25,2013,Spring
141,Channel Catfish,YAO,13.16,2.73,2013,Spring
501,Channel Catfish,YAO,21.61,5.02,2013,Autumn
501,Channel Catfish,YOY,0.52,0.12,2013,Autumn
502,Channel Catfish,YAO,10.12,1.76,2013,Autumn
503,Channel Catfish,YAO,4.59,2.78,2013,Autumn
504,Channel Catfish,YAO,38.58,3.27,2013,Autumn
504,Channel Catfish,YOY,5,0.42,2013,Autumn
505,Channel Catfish,YAO,12.55,3.5,2013,Autumn
507,Channel Catfish,YAO,2.33,1.6,2013,Autumn
508,Channel Catfish,YAO,31.27,22.83,2013,Autumn
509,Channel Catfish,YAO,8.19,5.72,2013,Autumn
509,Channel Catfish,YOY,0.27,0.19,2013,Autumn
512,Channel Catfish,YAO,45.99,15.66,2013,Autumn
512,Channel Catfish,YOY,1.22,0.41,2013,Autumn
513,Channel Catfish,YAO,8.53,1.85,2013,Autumn
514,Channel Catfish,YAO,19.58,8.3,2013,Autumn
514,Channel Catfish,YOY,0.09,0.04,2013,Autumn
516,Channel Catfish,YAO,6.36,2.02,2013,Autumn
517,Channel Catfish,YAO,8.44,4,2013,Autumn
520,Channel Catfish,YAO,55.48,11.36,2013,Autumn
520,Channel Catfish,YOY,0.22,0.04,2013,Autumn
521,Channel Catfish,YAO,35.43,8.18,2013,Autumn
521,Channel Catfish,YOY,0.01,0,2013,Autumn
522,Channel Catfish,YAO,6.69,4.57,2013,Autumn
524,Channel Catfish,YAO,2.03,0.92,2013,Autumn
525,Channel Catfish,YAO,25.32,8.53,2013,Autumn
525,Channel Catfish,YOY,0.13,0.04,2013,Autumn
526,Channel Catfish,YAO,20.14,5.78,2013,Autumn
526,Channel Catfish,YOY,0.22,0.06,2013,Autumn
528,Channel Catfish,YAO,1.96,0.73,2013,Autumn
529,Channel Catfish,YAO,134.9,27.77,2013,Autumn
529,Channel Catfish,YOY,0.03,0,2013,Autumn
530,Channel Catfish,YAO,9.91,1.38,2013,Autumn
530,Channel Catfish,YOY,0.2,0.03,2013,Autumn
531,Channel Catfish,YAO,36.54,12.45,2013,Autumn
531,Channel Catfish,YOY,0.11,0.02,2013,Autumn
533,Channel Catfish,YAO,3.94,6.37,2013,Autumn
534,Channel Catfish,YAO,43.61,9.48,2013,Autumn
534,Channel Catfish,YOY,1.43,0.31,2013,Autumn
536,Channel Catfish,YAO,3.85,2.28,2013,Autumn
536,Channel Catfish,YOY,0.01,0,2013,Autumn
537,Channel Catfish,YAO,1.94,0.1,2013,Autumn
538,Channel Catfish,YAO,12.31,3.12,2013,Autumn
539,Channel Catfish,YAO,1.87,0.95,2013,Autumn
112,Common Carp,YAO,2.63,12.97,2014,Spring
120,Common Carp,YAO,1.47,7.31,2014,Spring
125,Common Carp,YAO,1.46,5.06,2014,Spring
129,Common Carp,YAO,1.63,6.09,2014,Spring
504,Common Carp,YAO,6.32,43.03,2014,Autumn
505,Common Carp,YAO,1.89,14.85,2014,Autumn
506,Common Carp,YAO,1.73,13.56,2014,Autumn
508,Common Carp,YAO,3.16,19.65,2014,Autumn
509,Common Carp,YAO,4.23,34.97,2014,Autumn
512,Common Carp,YAO,7.94,60.95,2014,Autumn
519,Common Carp,YAO,3.43,14.67,2014,Autumn
520,Common Carp,YAO,1.99,16.29,2014,Autumn
522,Common Carp,YAO,1.74,14.28,2014,Autumn
528,Common Carp,YAO,1.69,7.21,2014,Autumn
529,Common Carp,YAO,6.35,37.05,2014,Autumn
531,Common Carp,YAO,1.4,14.95,2014,Autumn
532,Common Carp,YAO,1.52,19.81,2014,Autumn
538,Common Carp,YAO,4.55,37.7,2014,Autumn
119,Common Carp,YAO,3.65,13.75,2013,Spring
120,Common Carp,YAO,6.46,35.54,2013,Spring
124,Common Carp,YAO,6.3,33.54,2013,Spring
504,Common Carp,YAO,5.81,34.86,2013,Autumn
518,Common Carp,YAO,4.16,27.43,2013,Autumn
519,Common Carp,YAO,4.11,26.09,2013,Autumn
526,Common Carp,YAO,1.85,8.55,2013,Autumn
528,Common Carp,YAO,5.87,30.12,2013,Autumn
529,Common Carp,YAO,7.67,30.33,2013,Autumn
534,Common Carp,YAO,12.99,42.71,2013,Autumn
536,Common Carp,YAO,1.93,16.85,2013,Autumn
538,Common Carp,YAO,4.1,24.75,2013,Autumn
539,Common Carp,YAO,1.87,14.74,2013,Autumn
101,Emerald Shiner,YAO,255.35,0.46,2014,Spring
102,Emerald Shiner,YAO,186.79,0.19,2014,Spring
103,Emerald Shiner,YAO,3.3,0.02,2014,Spring
103,Emerald Shiner,YOY,0.04,0,2014,Spring
104,Emerald Shiner,YAO,735.16,1.91,2014,Spring
104,Emerald Shiner,YOY,5.91,0.02,2014,Spring
105,Emerald Shiner,YAO,1.55,0,2014,Spring
106,Emerald Shiner,YAO,199.27,0.76,2014,Spring
106,Emerald Shiner,YOY,3.17,0.01,2014,Spring
107,Emerald Shiner,YAO,567.95,2.04,2014,Spring
108,Emerald Shiner,YAO,152.96,0.6,2014,Spring
108,Emerald Shiner,YOY,1.01,0,2014,Spring
110,Emerald Shiner,YAO,420.66,0.93,2014,Spring
110,Emerald Shiner,YOY,0.49,0,2014,Spring
111,Emerald Shiner,YAO,6093.36,18.28,2014,Spring
111,Emerald Shiner,YOY,6.75,0.02,2014,Spring
113,Emerald Shiner,YAO,5967.64,21.48,2014,Spring
114,Emerald Shiner,YAO,528.24,1.32,2014,Spring
114,Emerald Shiner,YOY,7.52,0.02,2014,Spring
115,Emerald Shiner,YAO,11.8,0.02,2014,Spring
115,Emerald Shiner,YOY,0.12,0,2014,Spring
116,Emerald Shiner,ALL,0.01,0,2014,Spring
116,Emerald Shiner,YAO,5975.25,16.73,2014,Spring
116,Emerald Shiner,YOY,56.26,0.16,2014,Spring
117,Emerald Shiner,YAO,67.68,0.21,2014,Spring
117,Emerald Shiner,YOY,0.05,0,2014,Spring
119,Emerald Shiner,YAO,348.61,1.22,2014,Spring
119,Emerald Shiner,YOY,0.01,0,2014,Spring
121,Emerald Shiner,YAO,3775.39,13.21,2014,Spring
121,Emerald Shiner,YOY,11.54,0.04,2014,Spring
124,Emerald Shiner,YAO,3057.52,9.78,2014,Spring
125,Emerald Shiner,YAO,21634.37,38.94,2014,Spring
126,Emerald Shiner,YAO,11.32,0.05,2014,Spring
126,Emerald Shiner,YOY,0.05,0,2014,Spring
128,Emerald Shiner,YAO,1.46,0.01,2014,Spring
129,Emerald Shiner,YAO,503.43,3.42,2014,Spring
129,Emerald Shiner,YOY,5.92,0.04,2014,Spring
130,Emerald Shiner,YAO,46.99,0.26,2014,Spring
131,Emerald Shiner,YAO,108.21,0.42,2014,Spring
131,Emerald Shiner,YOY,0.02,0,2014,Spring
132,Emerald Shiner,YAO,1.61,0,2014,Spring
135,Emerald Shiner,YAO,5.54,0.02,2014,Spring
135,Emerald Shiner,YOY,0.06,0,2014,Spring
136,Emerald Shiner,YAO,28.02,0.16,2014,Spring
137,Emerald Shiner,YAO,2.74,0.01,2014,Spring
138,Emerald Shiner,YAO,127.48,0.6,2014,Spring
140,Emerald Shiner,YAO,12.67,0.06,2014,Spring
141,Emerald Shiner,YAO,8671.94,58.97,2014,Spring
501,Emerald Shiner,YAO,87.05,0.3,2014,Autumn
501,Emerald Shiner,YOY,18.58,0.03,2014,Autumn
502,Emerald Shiner,YAO,68.63,0.21,2014,Autumn
502,Emerald Shiner,YOY,109.59,0.34,2014,Autumn
504,Emerald Shiner,YAO,24.7,0.09,2014,Autumn
504,Emerald Shiner,YOY,9.89,0.04,2014,Autumn
506,Emerald Shiner,YAO,8.64,0.03,2014,Autumn
506,Emerald Shiner,YOY,0.03,0,2014,Autumn
507,Emerald Shiner,YAO,149.18,0.51,2014,Autumn
507,Emerald Shiner,YOY,1.67,0.01,2014,Autumn
508,Emerald Shiner,YAO,44.6,0.18,2014,Autumn
508,Emerald Shiner,YOY,19.53,0.05,2014,Autumn
510,Emerald Shiner,YAO,8.22,0.01,2014,Autumn
511,Emerald Shiner,YAO,47.89,0.21,2014,Autumn
511,Emerald Shiner,YOY,32.47,0.05,2014,Autumn
513,Emerald Shiner,YAO,11.31,0.02,2014,Autumn
513,Emerald Shiner,YOY,12.99,0.03,2014,Autumn
514,Emerald Shiner,YAO,231.76,0.36,2014,Autumn
514,Emerald Shiner,YOY,173.54,0.09,2014,Autumn
516,Emerald Shiner,YAO,13.6,0.06,2014,Autumn
516,Emerald Shiner,YOY,5.09,0.01,2014,Autumn
517,Emerald Shiner,YAO,34.31,0.09,2014,Autumn
517,Emerald Shiner,YOY,37.14,0.1,2014,Autumn
518,Emerald Shiner,YOY,7.02,0,2014,Autumn
519,Emerald Shiner,YAO,13.96,0.06,2014,Autumn
519,Emerald Shiner,YOY,24.54,0.04,2014,Autumn
520,Emerald Shiner,YAO,4.26,0.01,2014,Autumn
520,Emerald Shiner,YOY,11.64,0.03,2014,Autumn
521,Emerald Shiner,YAO,53.7,0.18,2014,Autumn
521,Emerald Shiner,YOY,0.03,0,2014,Autumn
522,Emerald Shiner,YAO,132.55,0.55,2014,Autumn
522,Emerald Shiner,YOY,72.68,0.15,2014,Autumn
523,Emerald Shiner,YAO,67.98,0.16,2014,Autumn
523,Emerald Shiner,YOY,213.61,0.49,2014,Autumn
525,Emerald Shiner,YAO,1.52,0.01,2014,Autumn
526,Emerald Shiner,YAO,50.38,0.17,2014,Autumn
526,Emerald Shiner,YOY,481.89,0.58,2014,Autumn
527,Emerald Shiner,YAO,1.32,0,2014,Autumn
527,Emerald Shiner,YOY,6.04,0.01,2014,Autumn
528,Emerald Shiner,YAO,3.37,0.01,2014,Autumn
528,Emerald Shiner,YOY,13.52,0.01,2014,Autumn
529,Emerald Shiner,YOY,1.59,0,2014,Autumn
530,Emerald Shiner,YOY,112.65,0.25,2014,Autumn
531,Emerald Shiner,YAO,31.79,0.13,2014,Autumn
531,Emerald Shiner,YOY,0.33,0,2014,Autumn
532,Emerald Shiner,YAO,0.02,0,2014,Autumn
532,Emerald Shiner,YOY,6.07,0.01,2014,Autumn
533,Emerald Shiner,YAO,11.41,0.04,2014,Autumn
533,Emerald Shiner,YOY,12.16,0.02,2014,Autumn
534,Emerald Shiner,ALL,0.01,0,2014,Autumn
534,Emerald Shiner,YAO,153.3,0.52,2014,Autumn
534,Emerald Shiner,YOY,129.27,0.44,2014,Autumn
536,Emerald Shiner,YAO,3.81,0.01,2014,Autumn
536,Emerald Shiner,YOY,2.6,0.01,2014,Autumn
537,Emerald Shiner,YAO,624.69,3.31,2014,Autumn
537,Emerald Shiner,YOY,91.87,0.49,2014,Autumn
538,Emerald Shiner,YAO,11.62,0.04,2014,Autumn
538,Emerald Shiner,YOY,12.66,0.02,2014,Autumn
541,Emerald Shiner,YAO,6.36,0.01,2014,Autumn
541,Emerald Shiner,YOY,14.99,0.02,2014,Autumn
101,Emerald Shiner,YAO,50.61,0.15,2013,Spring
102,Emerald Shiner,YAO,14.57,0.06,2013,Spring
104,Emerald Shiner,YAO,1207.37,2.84,2013,Spring
105,Emerald Shiner,YAO,83.12,0.26,2013,Spring
106,Emerald Shiner,YAO,49.84,0.17,2013,Spring
107,Emerald Shiner,YAO,155.42,0.49,2013,Spring
108,Emerald Shiner,YAO,5726.34,18.32,2013,Spring
108,Emerald Shiner,YOY,52.41,0.17,2013,Spring
109,Emerald Shiner,YAO,66335.12,179.1,2013,Spring
109,Emerald Shiner,YOY,162.68,0.44,2013,Spring
110,Emerald Shiner,YAO,2071.49,7.37,2013,Spring
111,Emerald Shiner,YAO,866.77,3.25,2013,Spring
112,Emerald Shiner,YAO,160.96,0.73,2013,Spring
112,Emerald Shiner,YOY,1.44,0.01,2013,Spring
113,Emerald Shiner,YAO,19.69,0.1,2013,Spring
114,Emerald Shiner,YAO,595.41,1.54,2013,Spring
116,Emerald Shiner,YAO,82.53,0.39,2013,Spring
117,Emerald Shiner,YAO,6382.61,28.08,2013,Spring
117,Emerald Shiner,YOY,25.57,0.11,2013,Spring
118,Emerald Shiner,YAO,135.39,0.55,2013,Spring
119,Emerald Shiner,YAO,10828.04,34.11,2013,Spring
119,Emerald Shiner,YOY,3.99,0.01,2013,Spring
121,Emerald Shiner,YAO,400.71,1.94,2013,Spring
122,Emerald Shiner,YAO,17.17,0.07,2013,Spring
123,Emerald Shiner,YAO,3.76,0.01,2013,Spring
124,Emerald Shiner,YAO,28030.68,80.98,2013,Spring
124,Emerald Shiner,YOY,3.97,0.01,2013,Spring
125,Emerald Shiner,YAO,43704.08,196.67,2013,Spring
125,Emerald Shiner,YOY,24.78,0.11,2013,Spring
126,Emerald Shiner,YAO,5.76,0.03,2013,Spring
127,Emerald Shiner,YAO,75.09,0.29,2013,Spring
128,Emerald Shiner,YAO,17205.52,49.9,2013,Spring
129,Emerald Shiner,YAO,51647.04,200.86,2013,Spring
129,Emerald Shiner,YOY,165.31,0.64,2013,Spring
134,Emerald Shiner,YAO,56924.39,156.54,2013,Spring
134,Emerald Shiner,YOY,37.02,0.1,2013,Spring
135,Emerald Shiner,YAO,4037.05,10.5,2013,Spring
138,Emerald Shiner,YAO,15558.87,56.18,2013,Spring
138,Emerald Shiner,YOY,11.69,0.04,2013,Spring
139,Emerald Shiner,YAO,30.46,0.09,2013,Spring
140,Emerald Shiner,YAO,5.84,0.02,2013,Spring
141,Emerald Shiner,YAO,5484.56,22.21,2013,Spring
141,Emerald Shiner,YOY,2.77,0.01,2013,Spring
501,Emerald Shiner,YAO,9.21,0.02,2013,Autumn
501,Emerald Shiner,YOY,27.67,0.03,2013,Autumn
502,Emerald Shiner,YAO,1.05,0,2013,Autumn
502,Emerald Shiner,YOY,19.19,0.02,2013,Autumn
503,Emerald Shiner,YAO,2.1,0,2013,Autumn
503,Emerald Shiner,YOY,13.98,0.02,2013,Autumn
505,Emerald Shiner,YAO,30.64,0.1,2013,Autumn
505,Emerald Shiner,YOY,626.05,0.57,2013,Autumn
506,Emerald Shiner,YAO,44.98,0.14,2013,Autumn
506,Emerald Shiner,YOY,46.14,0.04,2013,Autumn
508,Emerald Shiner,YAO,6.82,0.04,2013,Autumn
508,Emerald Shiner,YOY,86.3,0.06,2013,Autumn
509,Emerald Shiner,YAO,0.23,0,2013,Autumn
509,Emerald Shiner,YOY,12.45,0.01,2013,Autumn
510,Emerald Shiner,YAO,2.22,0.01,2013,Autumn
510,Emerald Shiner,YOY,203.54,0.08,2013,Autumn
511,Emerald Shiner,YAO,19.11,0.06,2013,Autumn
511,Emerald Shiner,YOY,0.09,0,2013,Autumn
512,Emerald Shiner,YAO,1.78,0,2013,Autumn
512,Emerald Shiner,YOY,17.1,0.02,2013,Autumn
513,Emerald Shiner,YAO,22.03,0.06,2013,Autumn
513,Emerald Shiner,YOY,122.93,0.13,2013,Autumn
514,Emerald Shiner,YAO,1.97,0.01,2013,Autumn
514,Emerald Shiner,YOY,368.23,0.26,2013,Autumn
515,Emerald Shiner,YOY,33.2,0.03,2013,Autumn
517,Emerald Shiner,YAO,10.55,0.04,2013,Autumn
517,Emerald Shiner,YOY,158.22,0.13,2013,Autumn
519,Emerald Shiner,YAO,249.38,0.84,2013,Autumn
519,Emerald Shiner,YOY,0.45,0,2013,Autumn
520,Emerald Shiner,YAO,2.25,0,2013,Autumn
520,Emerald Shiner,YOY,22.26,0.03,2013,Autumn
521,Emerald Shiner,YAO,81.09,0.24,2013,Autumn
521,Emerald Shiner,YOY,70.1,0.2,2013,Autumn
522,Emerald Shiner,YAO,3.15,0,2013,Autumn
522,Emerald Shiner,YOY,16.93,0.02,2013,Autumn
524,Emerald Shiner,YAO,4.06,0.02,2013,Autumn
525,Emerald Shiner,YAO,19.33,0.05,2013,Autumn
525,Emerald Shiner,YOY,669.75,0.71,2013,Autumn
526,Emerald Shiner,YAO,36.83,0.1,2013,Autumn
526,Emerald Shiner,YOY,52.14,0.14,2013,Autumn
527,Emerald Shiner,YOY,127.62,0.11,2013,Autumn
529,Emerald Shiner,YAO,8.87,0.01,2013,Autumn
529,Emerald Shiner,YOY,163.25,0.22,2013,Autumn
530,Emerald Shiner,YAO,10.2,0.02,2013,Autumn
530,Emerald Shiner,YOY,91.88,0.19,2013,Autumn
531,Emerald Shiner,YAO,4.83,0.01,2013,Autumn
531,Emerald Shiner,YOY,161.08,0.24,2013,Autumn
532,Emerald Shiner,YAO,0.87,0,2013,Autumn
532,Emerald Shiner,YOY,33.18,0.05,2013,Autumn
534,Emerald Shiner,YAO,20.86,0.03,2013,Autumn
534,Emerald Shiner,YOY,169.65,0.25,2013,Autumn
535,Emerald Shiner,YAO,29.43,0.05,2013,Autumn
535,Emerald Shiner,YOY,57.63,0.1,2013,Autumn
536,Emerald Shiner,YAO,7.98,0.02,2013,Autumn
536,Emerald Shiner,YOY,128.77,0.14,2013,Autumn
537,Emerald Shiner,YAO,128.7,0.3,2013,Autumn
537,Emerald Shiner,YOY,608.31,1.4,2013,Autumn
538,Emerald Shiner,YAO,47.34,0.1,2013,Autumn
538,Emerald Shiner,YOY,182.91,0.37,2013,Autumn
539,Emerald Shiner,YAO,25.79,0.04,2013,Autumn
539,Emerald Shiner,YOY,471.66,0.8,2013,Autumn
541,Emerald Shiner,YAO,12.41,0.01,2013,Autumn
541,Emerald Shiner,YOY,303.91,0.3,2013,Autumn
101,Freshwater Drum,YAO,8.04,9.89,2014,Spring
102,Freshwater Drum,YAO,93.39,35.53,2014,Spring
103,Freshwater Drum,YAO,45.07,40.34,2014,Spring
104,Freshwater Drum,YAO,104.21,74.6,2014,Spring
105,Freshwater Drum,YAO,66.66,43.36,2014,Spring
106,Freshwater Drum,YAO,30.37,23.24,2014,Spring
107,Freshwater Drum,YAO,21.43,11.39,2014,Spring
108,Freshwater Drum,YAO,217.84,78.57,2014,Spring
109,Freshwater Drum,YAO,17.08,20.58,2014,Spring
110,Freshwater Drum,YAO,43.81,48.91,2014,Spring
111,Freshwater Drum,YAO,28.26,13.23,2014,Spring
112,Freshwater Drum,YAO,207.64,280.28,2014,Spring
113,Freshwater Drum,YAO,454.44,189.82,2014,Spring
114,Freshwater Drum,YAO,35.52,30.64,2014,Spring
115,Freshwater Drum,YAO,40.22,64.31,2014,Spring
116,Freshwater Drum,YAO,87.86,45.14,2014,Spring
117,Freshwater Drum,YAO,90.27,65.58,2014,Spring
117,Freshwater Drum,YOY,0.04,0.02,2014,Spring
118,Freshwater Drum,YAO,68.15,94.48,2014,Spring
119,Freshwater Drum,YAO,128.36,110.01,2014,Spring
120,Freshwater Drum,YAO,350.97,244.15,2014,Spring
121,Freshwater Drum,YAO,327.55,98.23,2014,Spring
122,Freshwater Drum,YAO,164.7,169.15,2014,Spring
123,Freshwater Drum,YAO,52.76,63.97,2014,Spring
124,Freshwater Drum,YAO,99.78,98.56,2014,Spring
125,Freshwater Drum,YAO,40.81,21.49,2014,Spring
126,Freshwater Drum,YAO,99.5,39.6,2014,Spring
127,Freshwater Drum,YAO,62.09,79.51,2014,Spring
128,Freshwater Drum,YAO,42.27,61.22,2014,Spring
129,Freshwater Drum,YAO,174.12,66.07,2014,Spring
130,Freshwater Drum,YAO,34.18,25.95,2014,Spring
131,Freshwater Drum,YAO,8.66,5.29,2014,Spring
132,Freshwater Drum,YAO,82.16,90.25,2014,Spring
133,Freshwater Drum,YAO,10.11,10.71,2014,Spring
134,Freshwater Drum,YAO,33.62,12.35,2014,Spring
135,Freshwater Drum,YAO,4.2,4.63,2014,Spring
138,Freshwater Drum,YAO,22.77,8.79,2014,Spring
139,Freshwater Drum,YAO,1.45,0.55,2014,Spring
140,Freshwater Drum,YAO,1.27,0.89,2014,Spring
141,Freshwater Drum,YAO,19.29,10.19,2014,Spring
501,Freshwater Drum,YAO,11.19,7.73,2014,Autumn
502,Freshwater Drum,YAO,59.06,21.8,2014,Autumn
502,Freshwater Drum,YOY,0.49,0.04,2014,Autumn
503,Freshwater Drum,YAO,22.4,28.01,2014,Autumn
504,Freshwater Drum,YAO,35.06,17.3,2014,Autumn
505,Freshwater Drum,YAO,9.47,10.46,2014,Autumn
506,Freshwater Drum,YAO,16.89,19.52,2014,Autumn
506,Freshwater Drum,YOY,0.02,0.02,2014,Autumn
507,Freshwater Drum,YAO,34.24,15.52,2014,Autumn
508,Freshwater Drum,YAO,52.27,33.84,2014,Autumn
508,Freshwater Drum,YOY,0.04,0.02,2014,Autumn
509,Freshwater Drum,YAO,11.28,12.53,2014,Autumn
510,Freshwater Drum,YAO,18.19,21.21,2014,Autumn
511,Freshwater Drum,YAO,35,14.53,2014,Autumn
512,Freshwater Drum,YAO,182.74,68.93,2014,Autumn
512,Freshwater Drum,YOY,0.12,0.05,2014,Autumn
513,Freshwater Drum,YAO,47.93,33.71,2014,Autumn
513,Freshwater Drum,YOY,0.02,0.01,2014,Autumn
