serial,species,size,count_final,year,season
508,Freshwater Drum,L,5,2014,Autumn
508,Freshwater Drum,M,27,2014,Autumn
508,Freshwater Drum,S,1,2014,Autumn
508,Gizzard Shad,L,42,2014,Autumn
508,Gizzard Shad,M,359,2014,Autumn
508,Gizzard Shad,S,150,2014,Autumn
508,Quillback,L,10,2014,Autumn
508,Quillback,M,5,2014,Autumn
508,Silver Chub,ALL,1,2014,Autumn
508,Smallmouth Bass,S,1,2014,Autumn
508,Trout Perch,L,8,2014,Autumn
508,Trout Perch,S,8,2014,Autumn
508,Walleye,M,1,2014,Autumn
508,Walleye,S,17,2014,Autumn
508,White Bass,L,1,2014,Autumn
508,White Perch,M,5,2014,Autumn
508,White Perch,O/D,4,2014,Autumn
508,White Perch,S,23,2014,Autumn
508,Yellow Perch,M,19,2014,Autumn
508,Yellow Perch,O/D,6,2014,Autumn
508,Yellow Perch,S,25,2014,Autumn
509,Common Carp,ALL,3,2014,Autumn
509,Freshwater Drum,L,8,2014,Autumn
509,Gizzard Shad,L,31,2014,Autumn
509,Gizzard Shad,M,248,2014,Autumn
509,Smallmouth Bass,S,2,2014,Autumn
509,Spottail Shiner,L,1,2014,Autumn
509,Spottail Shiner,M,1,2014,Autumn
509,Spottail Shiner,S,12,2014,Autumn
509,Trout Perch,S,5,2014,Autumn
509,Walleye,M,7,2014,Autumn
509,Walleye,S,46,2014,Autumn
509,White Bass,L,1,2014,Autumn
509,White Perch,L,1,2014,Autumn
509,White Perch,O/D,2,2014,Autumn
509,White Perch,S,53,2014,Autumn
509,Yellow Perch,M,31,2014,Autumn
509,Yellow Perch,O/D,5,2014,Autumn
509,Yellow Perch,S,2800,2014,Autumn
510,Emerald Shiner,ALL,4.82,2014,Autumn
510,Freshwater Drum,L,11,2014,Autumn
510,Gizzard Shad,ALL,75,2014,Autumn
510,River Redhorse,ALL,1,2014,Autumn
510,Spottail Shiner,ALL,14.46,2014,Autumn
510,Trout Perch,L,14.46,2014,Autumn
510,Trout Perch,S,33.73,2014,Autumn
510,Walleye,M,3,2014,Autumn
510,Walleye,S,115.66,2014,Autumn
510,White Bass,L,4,2014,Autumn
510,White Perch,M,2,2014,Autumn
510,White Perch,O/D,1,2014,Autumn
510,White Perch,S,913,2014,Autumn
510,White Sucker,ALL,6,2014,Autumn
510,Yellow Perch,M,91.56,2014,Autumn
510,Yellow Perch,O/D,5,2014,Autumn
510,Yellow Perch,S,7324.88,2014,Autumn
511,Emerald Shiner,L,29,2014,Autumn
511,Emerald Shiner,S,20,2014,Autumn
511,Freshwater Drum,M,21,2014,Autumn
511,Gizzard Shad,M,21,2014,Autumn
511,Gizzard Shad,S,7,2014,Autumn
511,Rainbow Smelt,L,1,2014,Autumn
511,Rainbow Smelt,S,5,2014,Autumn
511,Silver Chub,ALL,1,2014,Autumn
511,Spottail Shiner,L,17,2014,Autumn
511,Spottail Shiner,S,45,2014,Autumn
511,Trout Perch,L,11,2014,Autumn
511,Trout Perch,S,33,2014,Autumn
511,Walleye,S,25,2014,Autumn
511,White Perch,O/D,2,2014,Autumn
511,White Perch,S,4,2014,Autumn
511,Yellow Perch,L,2,2014,Autumn
511,Yellow Perch,M,26,2014,Autumn
511,Yellow Perch,O/D,5,2014,Autumn
511,Yellow Perch,S,342,2014,Autumn
512,Channel Catfish,ALL,24,2014,Autumn
512,Common Carp,ALL,4,2014,Autumn
512,Freshwater Drum,ALL,92,2014,Autumn
512,Gizzard Shad,ALL,1,2014,Autumn
512,Round Goby,ALL,29,2014,Autumn
512,Shorthead Redhorse,ALL,3,2014,Autumn
512,Spottail Shiner,ALL,3,2014,Autumn
512,Trout Perch,ALL,2,2014,Autumn
512,Walleye,L,1,2014,Autumn
512,Walleye,M,11,2014,Autumn
512,Walleye,S,4,2014,Autumn
512,White Perch,L,18,2014,Autumn
512,White Perch,M,57,2014,Autumn
512,White Perch,O/D,5,2014,Autumn
512,White Perch,S,5,2014,Autumn
512,White Perch,XL,3,2014,Autumn
512,White Perch,XS,457,2014,Autumn
512,White Sucker,ALL,6,2014,Autumn
512,Yellow Perch,O/D,5,2014,Autumn
512,Yellow Perch,M,20,2014,Autumn
512,Yellow Perch,S,118,2014,Autumn
513,Channel Catfish,ALL,6,2014,Autumn
513,Emerald Shiner,ALL,15,2014,Autumn
513,Freshwater Drum,L,5,2014,Autumn
513,Freshwater Drum,M,25,2014,Autumn
513,Gizzard Shad,L,60,2014,Autumn
513,Gizzard Shad,M,759,2014,Autumn
513,Gizzard Shad,S,50,2014,Autumn
513,Round Goby,ALL,2,2014,Autumn
513,Trout Perch,L,7,2014,Autumn
513,Trout Perch,S,2,2014,Autumn
513,Walleye,L,1,2014,Autumn
513,Walleye,M,9,2014,Autumn
513,Walleye,S,10,2014,Autumn
513,White Bass,L,1,2014,Autumn
513,White Bass,S,1,2014,Autumn
513,White Perch,M,20,2014,Autumn
513,White Perch,O/D,5,2014,Autumn
513,White Perch,S,284,2014,Autumn
513,Yellow Perch,M,20,2014,Autumn
513,Yellow Perch,O/D,5,2014,Autumn
513,Yellow Perch,S,12,2014,Autumn
514,Channel Catfish,ALL,1,2014,Autumn
514,Emerald Shiner,L,142,2014,Autumn
514,Emerald Shiner,S,106,2014,Autumn
514,Freshwater Drum,L,19,2014,Autumn
514,Gizzard Shad,ALL,222,2014,Autumn
514,Round Goby,ALL,2.24,2014,Autumn
514,Spottail Shiner,ALL,4.49,2014,Autumn
514,Trout Perch,ALL,8.97,2014,Autumn
514,Walleye,M,3,2014,Autumn
514,Walleye,S,39,2014,Autumn
514,White Bass,L,1,2014,Autumn
514,White Perch,O/D,4,2014,Autumn
514,White Perch,S,391,2014,Autumn
514,Yellow Perch,M,33.65,2014,Autumn
514,Yellow Perch,O/D,5,2014,Autumn
514,Yellow Perch,S,5959.65,2014,Autumn
515,Freshwater Drum,L,1,2014,Autumn
515,Gizzard Shad,L,22,2014,Autumn
515,Gizzard Shad,M,105,2014,Autumn
515,Smallmouth Bass,ALL,1,2014,Autumn
515,Trout Perch,ALL,3,2014,Autumn
515,Walleye,S,4,2014,Autumn
515,White Perch,S,145,2014,Autumn
515,Yellow Perch,M,43,2014,Autumn
515,Yellow Perch,O/D,5,2014,Autumn
515,Yellow Perch,S,155,2014,Autumn
516,Channel Catfish,ALL,2,2014,Autumn
516,Emerald Shiner,L,8,2014,Autumn
516,Emerald Shiner,S,3,2014,Autumn
516,Freshwater Drum,L,6,2014,Autumn
516,Freshwater Drum,M,13,2014,Autumn
516,Freshwater Drum,S,1,2014,Autumn
516,Gizzard Shad,L,41,2014,Autumn
516,Gizzard Shad,M,707,2014,Autumn
516,Gizzard Shad,S,159,2014,Autumn
516,Quillback,ALL,4,2014,Autumn
516,Rainbow Smelt,ALL,5,2014,Autumn
516,Round Goby,ALL,1,2014,Autumn
516,Trout Perch,ALL,4,2014,Autumn
516,Walleye,M,5,2014,Autumn
516,Walleye,S,13,2014,Autumn
516,White Perch,L,4,2014,Autumn
516,White Perch,M,7,2014,Autumn
516,White Perch,O/D,5,2014,Autumn
516,White Perch,S,522,2014,Autumn
516,White Sucker,ALL,4,2014,Autumn
516,Yellow Perch,M,21,2014,Autumn
516,Yellow Perch,O/D,5,2014,Autumn
516,Yellow Perch,S,18,2014,Autumn
517,Channel Catfish,ALL,4,2014,Autumn
517,Channel Catfish,M,25,2014,Autumn
517,Emerald Shiner,ALL,39,2014,Autumn
517,Freshwater Drum,L,5,2014,Autumn
517,Freshwater Drum,M,5,2014,Autumn
517,Freshwater Drum,S,2,2014,Autumn
517,Gizzard Shad,ALL,460,2014,Autumn
517,Quillback,ALL,44,2014,Autumn
517,Trout Perch,L,13,2014,Autumn
517,Trout Perch,S,8,2014,Autumn
517,Walleye,L,5,2014,Autumn
517,Walleye,M,1,2014,Autumn
517,Walleye,S,2,2014,Autumn
517,White Bass,L,13,2014,Autumn
517,White Perch,L,6,2014,Autumn
517,White Perch,M,14,2014,Autumn
517,White Perch,O/D,5,2014,Autumn
517,White Perch,S,5,2014,Autumn
517,White Sucker,L,1,2014,Autumn
517,Yellow Perch,M,9,2014,Autumn
517,Yellow Perch,O/D,2,2014,Autumn
517,Yellow Perch,S,14,2014,Autumn
518,Channel Catfish,L,1,2014,Autumn
518,Emerald Shiner,S,4,2014,Autumn
518,Freshwater Drum,L,36,2014,Autumn
518,Gizzard Shad,ALL,30,2014,Autumn
518,Rainbow Smelt,S,1,2014,Autumn
518,Round Goby,ALL,3,2014,Autumn
518,Trout Perch,S,2,2014,Autumn
518,Walleye,M,3,2014,Autumn
518,Walleye,S,24,2014,Autumn
518,White Perch,M,1,2014,Autumn
518,White Perch,O/D,1,2014,Autumn
518,White Perch,S,85,2014,Autumn
518,Yellow Perch,L,2,2014,Autumn
518,Yellow Perch,M,16,2014,Autumn
518,Yellow Perch,O/D,3,2014,Autumn
518,Yellow Perch,S,487,2014,Autumn
519,Channel Catfish,ALL,6,2014,Autumn
519,Common Carp,ALL,2,2014,Autumn
519,Emerald Shiner,L,9,2014,Autumn
519,Emerald Shiner,S,13,2014,Autumn
519,Freshwater Drum,L,6,2014,Autumn
519,Freshwater Drum,M,33,2014,Autumn
519,Gizzard Shad,ALL,41,2014,Autumn
519,Quillback,ALL,1,2014,Autumn
519,Rainbow Smelt,S,7,2014,Autumn
519,Round Goby,ALL,1,2014,Autumn
519,Trout Perch,L,3,2014,Autumn
519,Trout Perch,S,6,2014,Autumn
519,Walleye,S,42,2014,Autumn
519,White Bass,L,8,2014,Autumn
519,White Perch,L,25,2014,Autumn
519,White Perch,M,15,2014,Autumn
519,White Perch,O/D,5,2014,Autumn
519,White Perch,S,117,2014,Autumn
519,White Perch,XL,3,2014,Autumn
519,Yellow Perch,L,5,2014,Autumn
519,Yellow Perch,M,22,2014,Autumn
519,Yellow Perch,O/D,5,2014,Autumn
519,Yellow Perch,S,26,2014,Autumn
520,Channel Catfish,ALL,5,2014,Autumn
520,Common Carp,ALL,1,2014,Autumn
520,Emerald Shiner,ALL,8,2014,Autumn
520,Freshwater Drum,L,1,2014,Autumn
520,Freshwater Drum,M,5,2014,Autumn
520,Gizzard Shad,ALL,23,2014,Autumn
520,Quillback,ALL,5,2014,Autumn
520,Rainbow Smelt,ALL,6,2014,Autumn
520,Round Goby,ALL,1,2014,Autumn
520,Spottail Shiner,ALL,3,2014,Autumn
520,Walleye,L,1,2014,Autumn
520,Walleye,M,4,2014,Autumn
520,Walleye,S,30,2014,Autumn
520,White Bass,ALL,7,2014,Autumn
520,White Perch,L,11,2014,Autumn
520,White Perch,O/D,5,2014,Autumn
520,White Perch,S,2,2014,Autumn
520,White Perch,XS,68,2014,Autumn
520,White Sucker,ALL,2,2014,Autumn
520,Yellow Perch,O/D,1,2014,Autumn
520,Yellow Perch,S,9,2014,Autumn
521,Emerald Shiner,ALL,33,2014,Autumn
521,Freshwater Drum,L,28,2014,Autumn
521,Freshwater Drum,M,16,2014,Autumn
521,Freshwater Drum,S,2,2014,Autumn
521,Gizzard Shad,ALL,1,2014,Autumn
521,Rainbow Smelt,S,13,2014,Autumn
521,Round Goby,ALL,3,2014,Autumn
521,Walleye,M,1,2014,Autumn
521,Walleye,S,5,2014,Autumn
521,White Bass,L,2,2014,Autumn
521,White Perch,L,1,2014,Autumn
521,White Perch,M,3,2014,Autumn
521,White Perch,O/D,5,2014,Autumn
521,White Perch,S,1,2014,Autumn
521,White Perch,XS,54,2014,Autumn
521,Yellow Perch,M,2,2014,Autumn
521,Yellow Perch,S,14,2014,Autumn
522,Channel Catfish,ALL,1,2014,Autumn
522,Common Carp,ALL,1,2014,Autumn
522,Emerald Shiner,L,71,2014,Autumn
522,Emerald Shiner,S,47,2014,Autumn
522,Freshwater Drum,L,25,2014,Autumn
522,Freshwater Drum,M,39,2014,Autumn
522,Gizzard Shad,ALL,35,2014,Autumn
522,Quillback,ALL,1,2014,Autumn
522,Rainbow Smelt,S,13,2014,Autumn
522,Round Goby,ALL,22,2014,Autumn
522,Trout Perch,ALL,8,2014,Autumn
522,Walleye,L,1,2014,Autumn
522,Walleye,M,1,2014,Autumn
522,Walleye,S,25,2014,Autumn
522,White Bass,L,2,2014,Autumn
522,White Perch,L,11,2014,Autumn
522,White Perch,O/D,5,2014,Autumn
522,White Perch,S,76,2014,Autumn
522,White Sucker,ALL,2,2014,Autumn
522,Yellow Perch,M,69,2014,Autumn
522,Yellow Perch,O/D,5,2014,Autumn
522,Yellow Perch,S,59,2014,Autumn
523,Emerald Shiner,ALL,218,2014,Autumn
523,Freshwater Drum,L,16,2014,Autumn
523,Gizzard Shad,ALL,128,2014,Autumn
523,Rainbow Smelt,S,29,2014,Autumn
523,Rock Bass,ALL,2,2014,Autumn
523,Round Goby,ALL,8,2014,Autumn
523,Silver Chub,ALL,7,2014,Autumn
523,Walleye,M,2,2014,Autumn
523,Walleye,S,40,2014,Autumn
523,White Bass,L,2,2014,Autumn
523,White Perch,M,19,2014,Autumn
523,White Perch,O/D,5,2014,Autumn
523,White Perch,S,77,2014,Autumn
523,White Sucker,ALL,1,2014,Autumn
523,Yellow Perch,L,6,2014,Autumn
523,Yellow Perch,M,43,2014,Autumn
523,Yellow Perch,O/D,5,2014,Autumn
523,Yellow Perch,S,885,2014,Autumn
524,Channel Catfish,ALL,3,2014,Autumn
524,Freshwater Drum,M,9,2014,Autumn
524,Freshwater Drum,S,28,2014,Autumn
524,Freshwater Drum,XS,1,2014,Autumn
524,Gizzard Shad,ALL,14,2014,Autumn
524,Rainbow Smelt,L,1,2014,Autumn
524,Rainbow Smelt,S,60,2014,Autumn
524,Trout Perch,L,41,2014,Autumn
524,Trout Perch,S,22,2014,Autumn
524,Walleye,L,2,2014,Autumn
524,Walleye,M,1,2014,Autumn
524,Walleye,S,45,2014,Autumn
524,White Perch,M,45,2014,Autumn
524,White Perch,O/D,5,2014,Autumn
524,White Perch,S,183,2014,Autumn
524,White Sucker,ALL,4,2014,Autumn
524,Yellow Perch,L,32,2014,Autumn
524,Yellow Perch,M,113,2014,Autumn
524,Yellow Perch,O/D,5,2014,Autumn
524,Yellow Perch,S,99,2014,Autumn
525,Channel Catfish,ALL,7,2014,Autumn
525,Emerald Shiner,ALL,1,2014,Autumn
525,Freshwater Drum,M,19,2014,Autumn
525,Freshwater Drum,S,4,2014,Autumn
525,Freshwater Drum,L,12,2014,Autumn
525,Gizzard Shad,ALL,3,2014,Autumn
525,Quillback,ALL,2,2014,Autumn
525,Rainbow Smelt,ALL,78,2014,Autumn
525,Walleye,L,1,2014,Autumn
525,Walleye,M,8,2014,Autumn
525,Walleye,S,16,2014,Autumn
525,White Bass,L,31,2014,Autumn
525,White Perch,L,46,2014,Autumn
525,White Perch,M,3,2014,Autumn
525,White Perch,O/D,5,2014,Autumn
525,White Perch,S,181,2014,Autumn
525,White Sucker,ALL,2,2014,Autumn
525,Yellow Perch,M,4,2014,Autumn
525,Yellow Perch,O/D,1,2014,Autumn
525,Yellow Perch,S,9,2014,Autumn
526,Channel Catfish,L,1,2014,Autumn
526,Channel Catfish,M,18,2014,Autumn
526,Emerald Shiner,L,28,2014,Autumn
526,Emerald Shiner,S,354,2014,Autumn
526,Freshwater Drum,L,2,2014,Autumn
526,Freshwater Drum,M,26,2014,Autumn
526,Freshwater Drum,S,38,2014,Autumn
526,Freshwater Drum,XS,1,2014,Autumn
526,Gizzard Shad,ALL,4,2014,Autumn
526,Rainbow Smelt,S,2,2014,Autumn
526,Trout Perch,ALL,2,2014,Autumn
526,Walleye,L,1,2014,Autumn
526,Walleye,M,4,2014,Autumn
526,Walleye,S,16,2014,Autumn
526,White Bass,L,13,2014,Autumn
526,White Bass,S,2,2014,Autumn
526,White Perch,L,14,2014,Autumn
526,White Perch,M,5,2014,Autumn
526,White Perch,O/D,5,2014,Autumn
526,White Perch,S,127,2014,Autumn
526,White Sucker,ALL,1,2014,Autumn
526,Yellow Perch,L,10,2014,Autumn
526,Yellow Perch,M,11,2014,Autumn
526,Yellow Perch,O/D,5,2014,Autumn
526,Yellow Perch,S,5,2014,Autumn
527,Channel Catfish,ALL,1,2014,Autumn
527,Emerald Shiner,ALL,5,2014,Autumn
527,Freshwater Drum,L,30,2014,Autumn
527,Freshwater Drum,M,13,2014,Autumn
527,Rainbow Smelt,S,66,2014,Autumn
527,Round Goby,ALL,3,2014,Autumn
527,Walleye,M,4,2014,Autumn
527,Walleye,S,15,2014,Autumn
527,White Bass,M,1,2014,Autumn
527,White Bass,S,39,2014,Autumn
527,White Perch,M,1,2014,Autumn
527,White Perch,O/D,5,2014,Autumn
527,Yellow Perch,L,5,2014,Autumn
527,Yellow Perch,O/D,5,2014,Autumn
527,Yellow Perch,S,11,2014,Autumn
528,Common Carp,ALL,1,2014,Autumn
528,Emerald Shiner,L,2,2014,Autumn
528,Freshwater Drum,M,6,2014,Autumn
528,Freshwater Drum,S,2,2014,Autumn
528,Gizzard Shad,ALL,46,2014,Autumn
528,Logperch,ALL,1,2014,Autumn
528,Rainbow Smelt,M,1,2014,Autumn
528,Rainbow Smelt,S,53,2014,Autumn
528,Trout Perch,L,9,2014,Autumn
528,Trout Perch,S,7,2014,Autumn
528,Unidentified Species,S,8,2014,Autumn
528,Walleye,S,43,2014,Autumn
528,White Bass,S,6,2014,Autumn
528,White Perch,M,1,2014,Autumn
528,White Perch,O/D,4,2014,Autumn
528,White Perch,S,44,2014,Autumn
528,White Sucker,ALL,1,2014,Autumn
528,Yellow Perch,L,6,2014,Autumn
528,Yellow Perch,M,7,2014,Autumn
528,Yellow Perch,O/D,5,2014,Autumn
528,Yellow Perch,S,80,2014,Autumn
529,Channel Catfish,L,4,2014,Autumn
529,Channel Catfish,M,24,2014,Autumn
529,Channel Catfish,S,3,2014,Autumn
529,Common Carp,ALL,4,2014,Autumn
529,Emerald Shiner,ALL,1,2014,Autumn
529,Freshwater Drum,L,8,2014,Autumn
529,Freshwater Drum,M,29,2014,Autumn
529,Freshwater Drum,S,5,2014,Autumn
529,Gizzard Shad,ALL,32,2014,Autumn
529,Quillback,ALL,7,2014,Autumn
529,Quillback,L,1,2014,Autumn
529,Rainbow Smelt,ALL,1,2014,Autumn
529,Round Goby,ALL,5,2014,Autumn
529,Trout Perch,ALL,1,2014,Autumn
529,Walleye,L,1,2014,Autumn
529,Walleye,M,3,2014,Autumn
529,White Bass,ALL,7,2014,Autumn
529,White Perch,M,151,2014,Autumn
529,White Perch,O/D,5,2014,Autumn
529,White Perch,S,11,2014,Autumn
529,White Perch,XS,624,2014,Autumn
529,White Sucker,ALL,4,2014,Autumn
529,Yellow Perch,L,2,2014,Autumn
529,Yellow Perch,M,1,2014,Autumn
529,Yellow Perch,O/D,5,2014,Autumn
529,Yellow Perch,S,8,2014,Autumn
530,Channel Catfish,ALL,1,2014,Autumn
530,Emerald Shiner,ALL,72,2014,Autumn
530,Freshwater Drum,L,8,2014,Autumn
530,Freshwater Drum,M,41,2014,Autumn
530,Gizzard Shad,ALL,10,2014,Autumn
530,Rainbow Smelt,ALL,6,2014,Autumn
530,Walleye,L,2,2014,Autumn
530,Walleye,M,3,2014,Autumn
530,Walleye,S,3,2014,Autumn
530,White Bass,ALL,9,2014,Autumn
530,White Bass,S,1,2014,Autumn
530,White Perch,M,5,2014,Autumn
530,White Perch,O/D,5,2014,Autumn
530,White Perch,S,30,2014,Autumn
530,White Perch,XS,9,2014,Autumn
530,Yellow Perch,L,17,2014,Autumn
530,Yellow Perch,M,15,2014,Autumn
530,Yellow Perch,O/D,5,2014,Autumn
530,Yellow Perch,S,10,2014,Autumn
531,Channel Catfish,ALL,3,2014,Autumn
531,Common Carp,ALL,1,2014,Autumn
531,Emerald Shiner,L,23,2014,Autumn
531,Freshwater Drum,L,11,2014,Autumn
531,Freshwater Drum,M,37,2014,Autumn
531,Gizzard Shad,ALL,115,2014,Autumn
531,Rainbow Smelt,S,17,2014,Autumn
531,Round Goby,ALL,1,2014,Autumn
531,Walleye,L,2,2014,Autumn
531,Walleye,M,3,2014,Autumn
531,Walleye,S,3,2014,Autumn
531,White Bass,L,5,2014,Autumn
531,White Bass,S,1,2014,Autumn
531,White Perch,L,12,2014,Autumn
531,White Perch,M,53,2014,Autumn
531,White Perch,O/D,5,2014,Autumn
531,White Perch,S,275,2014,Autumn
531,Yellow Perch,L,3,2014,Autumn
531,Yellow Perch,M,12,2014,Autumn
531,Yellow Perch,O/D,5,2014,Autumn
531,Yellow Perch,S,33,2014,Autumn
532,Channel Catfish,M,1,2014,Autumn
532,Common Carp,ALL,1,2014,Autumn
532,Emerald Shiner,ALL,4,2014,Autumn
532,Freshwater Drum,L,19,2014,Autumn
532,Freshwater Drum,M,9,2014,Autumn
532,Gizzard Shad,ALL,5,2014,Autumn
532,Goldfish,ALL,1,2014,Autumn
532,Rainbow Smelt,S,26,2014,Autumn
532,Round Goby,ALL,5,2014,Autumn
532,Shorthead Redhorse,ALL,2,2014,Autumn
532,Walleye,L,3,2014,Autumn
532,Walleye,M,5,2014,Autumn
532,Walleye,S,2,2014,Autumn
532,White Bass,L,1,2014,Autumn
532,White Bass,M,1,2014,Autumn
532,White Perch,L,1,2014,Autumn
532,White Perch,M,4,2014,Autumn
532,White Perch,O/D,5,2014,Autumn
532,White Perch,S,2,2014,Autumn
532,White Sucker,ALL,6,2014,Autumn
532,Yellow Perch,L,2,2014,Autumn
532,Yellow Perch,M,2,2014,Autumn
532,Yellow Perch,O/D,5,2014,Autumn
533,Channel Catfish,L,1,2014,Autumn
533,Emerald Shiner,L,7,2014,Autumn
533,Emerald Shiner,M,7,2014,Autumn
533,Emerald Shiner,S,1,2014,Autumn
533,Freshwater Drum,L,8,2014,Autumn
533,Gizzard Shad,ALL,2,2014,Autumn
533,Rainbow Smelt,S,1850,2014,Autumn
533,Round Goby,ALL,1,2014,Autumn
533,Walleye,S,8,2014,Autumn
533,White Perch,O/D,1,2014,Autumn
533,White Perch,S,2,2014,Autumn
533,Yellow Perch,L,4,2014,Autumn
533,Yellow Perch,M,2,2014,Autumn
533,Yellow Perch,O/D,4,2014,Autumn
535,Freshwater Drum,L,3,2014,Autumn
535,Freshwater Drum,M,5,2014,Autumn
535,Freshwater Drum,S,1,2014,Autumn
535,Freshwater Drum,XS,1,2014,Autumn
535,Gizzard Shad,ALL,41,2014,Autumn
535,Rainbow Smelt,S,3,2014,Autumn
535,Round Goby,ALL,6,2014,Autumn
535,Walleye,L,1,2014,Autumn
535,White Bass,L,1,2014,Autumn
535,White Perch,L,10,2014,Autumn
535,White Perch,S,4,2014,Autumn
535,White Perch,M,444,2014,Autumn
535,White Perch,O/D,5,2014,Autumn
535,Yellow Perch,L,94,2014,Autumn
535,Yellow Perch,M,16,2014,Autumn
535,Yellow Perch,O/D,5,2014,Autumn
535,Yellow Perch,S,3,2014,Autumn
536,Emerald Shiner,ALL,4,2014,Autumn
536,Freshwater Drum,L,18,2014,Autumn
536,Freshwater Drum,M,10,2014,Autumn
536,Gizzard Shad,ALL,158,2014,Autumn
536,Rainbow Smelt,S,4,2014,Autumn
536,Walleye,L,2,2014,Autumn
