serial,day,month,year,season,species,size,count.final
510,23,9,2014,Autumn,White Perch,O/D,1
510,23,9,2014,Autumn,White Perch,S,913
510,23,9,2014,Autumn,White Sucker,ALL,6
510,23,9,2014,Autumn,Yellow Perch,M,91.56
510,23,9,2014,Autumn,Yellow Perch,O/D,5
510,23,9,2014,Autumn,Yellow Perch,S,7324.88
511,23,9,2014,Autumn,Emerald Shiner,L,29
511,23,9,2014,Autumn,Emerald Shiner,S,20
511,23,9,2014,Autumn,Freshwater Drum,M,21
511,23,9,2014,Autumn,Gizzard Shad,M,21
511,23,9,2014,Autumn,Gizzard Shad,S,7
511,23,9,2014,Autumn,Rainbow Smelt,L,1
511,23,9,2014,Autumn,Rainbow Smelt,S,5
511,23,9,2014,Autumn,Silver Chub,ALL,1
511,23,9,2014,Autumn,Spottail Shiner,L,17
511,23,9,2014,Autumn,Spottail Shiner,S,45
511,23,9,2014,Autumn,Trout Perch,L,11
511,23,9,2014,Autumn,Trout Perch,S,33
511,23,9,2014,Autumn,Walleye,S,25
511,23,9,2014,Autumn,White Perch,O/D,2
511,23,9,2014,Autumn,White Perch,S,4
511,23,9,2014,Autumn,Yellow Perch,L,2
511,23,9,2014,Autumn,Yellow Perch,M,26
511,23,9,2014,Autumn,Yellow Perch,O/D,5
511,23,9,2014,Autumn,Yellow Perch,S,342
512,22,9,2014,Autumn,Channel Catfish,ALL,24
512,22,9,2014,Autumn,Common Carp,ALL,4
512,22,9,2014,Autumn,Freshwater Drum,ALL,92
512,22,9,2014,Autumn,Gizzard Shad,ALL,1
512,22,9,2014,Autumn,Round Goby,ALL,29
512,22,9,2014,Autumn,Shorthead Redhorse,ALL,3
512,22,9,2014,Autumn,Spottail Shiner,ALL,3
512,22,9,2014,Autumn,Trout Perch,ALL,2
512,22,9,2014,Autumn,Walleye,L,1
512,22,9,2014,Autumn,Walleye,M,11
512,22,9,2014,Autumn,Walleye,S,4
512,22,9,2014,Autumn,White Perch,L,18
512,22,9,2014,Autumn,White Perch,M,57
512,22,9,2014,Autumn,White Perch,O/D,5
512,22,9,2014,Autumn,White Perch,S,5
512,22,9,2014,Autumn,White Perch,XL,3
512,22,9,2014,Autumn,White Perch,XS,457
512,22,9,2014,Autumn,White Sucker,ALL,6
512,22,9,2014,Autumn,Yellow Perch,O/D,5
512,22,9,2014,Autumn,Yellow Perch,M,20
512,22,9,2014,Autumn,Yellow Perch,S,118
513,22,9,2014,Autumn,Channel Catfish,ALL,6
513,22,9,2014,Autumn,Emerald Shiner,ALL,15
513,22,9,2014,Autumn,Freshwater Drum,L,5
513,22,9,2014,Autumn,Freshwater Drum,M,25
513,22,9,2014,Autumn,Gizzard Shad,L,60
513,22,9,2014,Autumn,Gizzard Shad,M,759
513,22,9,2014,Autumn,Gizzard Shad,S,50
513,22,9,2014,Autumn,Round Goby,ALL,2
513,22,9,2014,Autumn,Trout Perch,L,7
513,22,9,2014,Autumn,Trout Perch,S,2
513,22,9,2014,Autumn,Walleye,L,1
513,22,9,2014,Autumn,Walleye,M,9
513,22,9,2014,Autumn,Walleye,S,10
513,22,9,2014,Autumn,White Bass,L,1
513,22,9,2014,Autumn,White Bass,S,1
513,22,9,2014,Autumn,White Perch,M,20
513,22,9,2014,Autumn,White Perch,O/D,5
513,22,9,2014,Autumn,White Perch,S,284
513,22,9,2014,Autumn,Yellow Perch,M,20
513,22,9,2014,Autumn,Yellow Perch,O/D,5
513,22,9,2014,Autumn,Yellow Perch,S,12
514,23,9,2014,Autumn,Channel Catfish,ALL,1
514,23,9,2014,Autumn,Emerald Shiner,L,142
514,23,9,2014,Autumn,Emerald Shiner,S,106
514,23,9,2014,Autumn,Freshwater Drum,L,19
514,23,9,2014,Autumn,Gizzard Shad,ALL,222
514,23,9,2014,Autumn,Round Goby,ALL,2.24
514,23,9,2014,Autumn,Spottail Shiner,ALL,4.49
514,23,9,2014,Autumn,Trout Perch,ALL,8.97
514,23,9,2014,Autumn,Walleye,M,3
514,23,9,2014,Autumn,Walleye,S,39
514,23,9,2014,Autumn,White Bass,L,1
514,23,9,2014,Autumn,White Perch,O/D,4
514,23,9,2014,Autumn,White Perch,S,391
514,23,9,2014,Autumn,Yellow Perch,M,33.65
514,23,9,2014,Autumn,Yellow Perch,O/D,5
514,23,9,2014,Autumn,Yellow Perch,S,5959.65
515,23,9,2014,Autumn,Freshwater Drum,L,1
515,23,9,2014,Autumn,Gizzard Shad,L,22
515,23,9,2014,Autumn,Gizzard Shad,M,105
515,23,9,2014,Autumn,Smallmouth Bass,ALL,1
515,23,9,2014,Autumn,Trout Perch,ALL,3
515,23,9,2014,Autumn,Walleye,S,4
515,23,9,2014,Autumn,White Perch,S,145
515,23,9,2014,Autumn,Yellow Perch,M,43
515,23,9,2014,Autumn,Yellow Perch,O/D,5
515,23,9,2014,Autumn,Yellow Perch,S,155
516,23,9,2014,Autumn,Channel Catfish,ALL,2
516,23,9,2014,Autumn,Emerald Shiner,L,8
516,23,9,2014,Autumn,Emerald Shiner,S,3
516,23,9,2014,Autumn,Freshwater Drum,L,6
516,23,9,2014,Autumn,Freshwater Drum,M,13
516,23,9,2014,Autumn,Freshwater Drum,S,1
516,23,9,2014,Autumn,Gizzard Shad,L,41
516,23,9,2014,Autumn,Gizzard Shad,M,707
516,23,9,2014,Autumn,Gizzard Shad,S,159
516,23,9,2014,Autumn,Quillback,ALL,4
516,23,9,2014,Autumn,Rainbow Smelt,ALL,5
516,23,9,2014,Autumn,Round Goby,ALL,1
516,23,9,2014,Autumn,Trout Perch,ALL,4
516,23,9,2014,Autumn,Walleye,M,5
516,23,9,2014,Autumn,Walleye,S,13
516,23,9,2014,Autumn,White Perch,L,4
516,23,9,2014,Autumn,White Perch,M,7
516,23,9,2014,Autumn,White Perch,O/D,5
516,23,9,2014,Autumn,White Perch,S,522
516,23,9,2014,Autumn,White Sucker,ALL,4
516,23,9,2014,Autumn,Yellow Perch,M,21
516,23,9,2014,Autumn,Yellow Perch,O/D,5
516,23,9,2014,Autumn,Yellow Perch,S,18
517,23,9,2014,Autumn,Channel Catfish,ALL,4
517,23,9,2014,Autumn,Channel Catfish,M,25
517,23,9,2014,Autumn,Emerald Shiner,ALL,39
517,23,9,2014,Autumn,Freshwater Drum,L,5
517,23,9,2014,Autumn,Freshwater Drum,M,5
517,23,9,2014,Autumn,Freshwater Drum,S,2
517,23,9,2014,Autumn,Gizzard Shad,ALL,460
517,23,9,2014,Autumn,Quillback,ALL,44
517,23,9,2014,Autumn,Trout Perch,L,13
517,23,9,2014,Autumn,Trout Perch,S,8
517,23,9,2014,Autumn,Walleye,L,5
517,23,9,2014,Autumn,Walleye,M,1
517,23,9,2014,Autumn,Walleye,S,2
517,23,9,2014,Autumn,White Bass,L,13
517,23,9,2014,Autumn,White Perch,L,6
517,23,9,2014,Autumn,White Perch,M,14
517,23,9,2014,Autumn,White Perch,O/D,5
517,23,9,2014,Autumn,White Perch,S,5
517,23,9,2014,Autumn,White Sucker,L,1
517,23,9,2014,Autumn,Yellow Perch,M,9
517,23,9,2014,Autumn,Yellow Perch,O/D,2
517,23,9,2014,Autumn,Yellow Perch,S,14
518,24,9,2014,Autumn,Channel Catfish,L,1
518,24,9,2014,Autumn,Emerald Shiner,S,4
518,24,9,2014,Autumn,Freshwater Drum,L,36
518,24,9,2014,Autumn,Gizzard Shad,ALL,30
518,24,9,2014,Autumn,Rainbow Smelt,S,1
518,24,9,2014,Autumn,Round Goby,ALL,3
518,24,9,2014,Autumn,Trout Perch,S,2
518,24,9,2014,Autumn,Walleye,M,3
518,24,9,2014,Autumn,Walleye,S,24
518,24,9,2014,Autumn,White Perch,M,1
518,24,9,2014,Autumn,White Perch,O/D,1
518,24,9,2014,Autumn,White Perch,S,85
518,24,9,2014,Autumn,Yellow Perch,L,2
518,24,9,2014,Autumn,Yellow Perch,M,16
518,24,9,2014,Autumn,Yellow Perch,O/D,3
518,24,9,2014,Autumn,Yellow Perch,S,487
519,24,9,2014,Autumn,Channel Catfish,ALL,6
519,24,9,2014,Autumn,Common Carp,ALL,2
519,24,9,2014,Autumn,Emerald Shiner,L,9
519,24,9,2014,Autumn,Emerald Shiner,S,13
519,24,9,2014,Autumn,Freshwater Drum,L,6
519,24,9,2014,Autumn,Freshwater Drum,M,33
519,24,9,2014,Autumn,Gizzard Shad,ALL,41
519,24,9,2014,Autumn,Quillback,ALL,1
519,24,9,2014,Autumn,Rainbow Smelt,S,7
519,24,9,2014,Autumn,Round Goby,ALL,1
519,24,9,2014,Autumn,Trout Perch,L,3
519,24,9,2014,Autumn,Trout Perch,S,6
519,24,9,2014,Autumn,Walleye,S,42
519,24,9,2014,Autumn,White Bass,L,8
519,24,9,2014,Autumn,White Perch,L,25
519,24,9,2014,Autumn,White Perch,M,15
519,24,9,2014,Autumn,White Perch,O/D,5
519,24,9,2014,Autumn,White Perch,S,117
519,24,9,2014,Autumn,White Perch,XL,3
519,24,9,2014,Autumn,Yellow Perch,L,5
519,24,9,2014,Autumn,Yellow Perch,M,22
519,24,9,2014,Autumn,Yellow Perch,O/D,5
519,24,9,2014,Autumn,Yellow Perch,S,26
520,22,9,2014,Autumn,Channel Catfish,ALL,5
520,22,9,2014,Autumn,Common Carp,ALL,1
520,22,9,2014,Autumn,Emerald Shiner,ALL,8
520,22,9,2014,Autumn,Freshwater Drum,L,1
520,22,9,2014,Autumn,Freshwater Drum,M,5
520,22,9,2014,Autumn,Gizzard Shad,ALL,23
520,22,9,2014,Autumn,Quillback,ALL,5
520,22,9,2014,Autumn,Rainbow Smelt,ALL,6
520,22,9,2014,Autumn,Round Goby,ALL,1
520,22,9,2014,Autumn,Spottail Shiner,ALL,3
520,22,9,2014,Autumn,Walleye,L,1
520,22,9,2014,Autumn,Walleye,M,4
520,22,9,2014,Autumn,Walleye,S,30
520,22,9,2014,Autumn,White Bass,ALL,7
520,22,9,2014,Autumn,White Perch,L,11
520,22,9,2014,Autumn,White Perch,O/D,5
520,22,9,2014,Autumn,White Perch,S,2
520,22,9,2014,Autumn,White Perch,XS,68
520,22,9,2014,Autumn,White Sucker,ALL,2
520,22,9,2014,Autumn,Yellow Perch,O/D,1
520,22,9,2014,Autumn,Yellow Perch,S,9
521,24,9,2014,Autumn,Emerald Shiner,ALL,33
521,24,9,2014,Autumn,Freshwater Drum,L,28
521,24,9,2014,Autumn,Freshwater Drum,M,16
521,24,9,2014,Autumn,Freshwater Drum,S,2
521,24,9,2014,Autumn,Gizzard Shad,ALL,1
521,24,9,2014,Autumn,Rainbow Smelt,S,13
521,24,9,2014,Autumn,Round Goby,ALL,3
521,24,9,2014,Autumn,Walleye,M,1
521,24,9,2014,Autumn,Walleye,S,5
521,24,9,2014,Autumn,White Bass,L,2
521,24,9,2014,Autumn,White Perch,L,1
521,24,9,2014,Autumn,White Perch,M,3
521,24,9,2014,Autumn,White Perch,O/D,5
521,24,9,2014,Autumn,White Perch,S,1
521,24,9,2014,Autumn,White Perch,XS,54
521,24,9,2014,Autumn,Yellow Perch,M,2
521,24,9,2014,Autumn,Yellow Perch,S,14
522,24,9,2014,Autumn,Channel Catfish,ALL,1
522,24,9,2014,Autumn,Common Carp,ALL,1
522,24,9,2014,Autumn,Emerald Shiner,L,71
522,24,9,2014,Autumn,Emerald Shiner,S,47
522,24,9,2014,Autumn,Freshwater Drum,L,25
522,24,9,2014,Autumn,Freshwater Drum,M,39
522,24,9,2014,Autumn,Gizzard Shad,ALL,35
522,24,9,2014,Autumn,Quillback,ALL,1
522,24,9,2014,Autumn,Rainbow Smelt,S,13
522,24,9,2014,Autumn,Round Goby,ALL,22
522,24,9,2014,Autumn,Trout Perch,ALL,8
522,24,9,2014,Autumn,Walleye,L,1
522,24,9,2014,Autumn,Walleye,M,1
522,24,9,2014,Autumn,Walleye,S,25
522,24,9,2014,Autumn,White Bass,L,2
522,24,9,2014,Autumn,White Perch,L,11
522,24,9,2014,Autumn,White Perch,O/D,5
522,24,9,2014,Autumn,White Perch,S,76
522,24,9,2014,Autumn,White Sucker,ALL,2
522,24,9,2014,Autumn,Yellow Perch,M,69
522,24,9,2014,Autumn,Yellow Perch,O/D,5
522,24,9,2014,Autumn,Yellow Perch,S,59
523,24,9,2014,Autumn,Emerald Shiner,ALL,218
523,24,9,2014,Autumn,Freshwater Drum,L,16
523,24,9,2014,Autumn,Gizzard Shad,ALL,128
523,24,9,2014,Autumn,Rainbow Smelt,S,29
523,24,9,2014,Autumn,Rock Bass,ALL,2
523,24,9,2014,Autumn,Round Goby,ALL,8
523,24,9,2014,Autumn,Silver Chub,ALL,7
523,24,9,2014,Autumn,Walleye,M,2
523,24,9,2014,Autumn,Walleye,S,40
523,24,9,2014,Autumn,White Bass,L,2
523,24,9,2014,Autumn,White Perch,M,19
523,24,9,2014,Autumn,White Perch,O/D,5
523,24,9,2014,Autumn,White Perch,S,77
523,24,9,2014,Autumn,White Sucker,ALL,1
523,24,9,2014,Autumn,Yellow Perch,L,6
523,24,9,2014,Autumn,Yellow Perch,M,43
523,24,9,2014,Autumn,Yellow Perch,O/D,5
523,24,9,2014,Autumn,Yellow Perch,S,885
524,24,9,2014,Autumn,Channel Catfish,ALL,3
524,24,9,2014,Autumn,Freshwater Drum,M,9
524,24,9,2014,Autumn,Freshwater Drum,S,28
524,24,9,2014,Autumn,Freshwater Drum,XS,1
524,24,9,2014,Autumn,Gizzard Shad,ALL,14
524,24,9,2014,Autumn,Rainbow Smelt,L,1
524,24,9,2014,Autumn,Rainbow Smelt,S,60
524,24,9,2014,Autumn,Trout Perch,L,41
524,24,9,2014,Autumn,Trout Perch,S,22
524,24,9,2014,Autumn,Walleye,L,2
524,24,9,2014,Autumn,Walleye,M,1
524,24,9,2014,Autumn,Walleye,S,45
524,24,9,2014,Autumn,White Perch,M,45
524,24,9,2014,Autumn,White Perch,O/D,5
524,24,9,2014,Autumn,White Perch,S,183
524,24,9,2014,Autumn,White Sucker,ALL,4
524,24,9,2014,Autumn,Yellow Perch,L,32
524,24,9,2014,Autumn,Yellow Perch,M,113
524,24,9,2014,Autumn,Yellow Perch,O/D,5
524,24,9,2014,Autumn,Yellow Perch,S,99
525,22,9,2014,Autumn,Channel Catfish,ALL,7
525,22,9,2014,Autumn,Emerald Shiner,ALL,1
525,22,9,2014,Autumn,Freshwater Drum,M,19
525,22,9,2014,Autumn,Freshwater Drum,S,4
525,22,9,2014,Autumn,Freshwater Drum,L,12
525,22,9,2014,Autumn,Gizzard Shad,ALL,3
525,22,9,2014,Autumn,Quillback,ALL,2
525,22,9,2014,Autumn,Rainbow Smelt,ALL,78
525,22,9,2014,Autumn,Walleye,L,1
525,22,9,2014,Autumn,Walleye,M,8
525,22,9,2014,Autumn,Walleye,S,16
525,22,9,2014,Autumn,White Bass,L,31
525,22,9,2014,Autumn,White Perch,L,46
525,22,9,2014,Autumn,White Perch,M,3
525,22,9,2014,Autumn,White Perch,O/D,5
525,22,9,2014,Autumn,White Perch,S,181
525,22,9,2014,Autumn,White Sucker,ALL,2
525,22,9,2014,Autumn,Yellow Perch,M,4
525,22,9,2014,Autumn,Yellow Perch,O/D,1
525,22,9,2014,Autumn,Yellow Perch,S,9
526,25,9,2014,Autumn,Channel Catfish,L,1
526,25,9,2014,Autumn,Channel Catfish,M,18
526,25,9,2014,Autumn,Emerald Shiner,L,28
526,25,9,2014,Autumn,Emerald Shiner,S,354
526,25,9,2014,Autumn,Freshwater Drum,L,2
526,25,9,2014,Autumn,Freshwater Drum,M,26
526,25,9,2014,Autumn,Freshwater Drum,S,38
526,25,9,2014,Autumn,Freshwater Drum,XS,1
526,25,9,2014,Autumn,Gizzard Shad,ALL,4
526,25,9,2014,Autumn,Rainbow Smelt,S,2
526,25,9,2014,Autumn,Trout Perch,ALL,2
526,25,9,2014,Autumn,Walleye,L,1
526,25,9,2014,Autumn,Walleye,M,4
526,25,9,2014,Autumn,Walleye,S,16
526,25,9,2014,Autumn,White Bass,L,13
526,25,9,2014,Autumn,White Bass,S,2
526,25,9,2014,Autumn,White Perch,L,14
526,25,9,2014,Autumn,White Perch,M,5
526,25,9,2014,Autumn,White Perch,O/D,5
526,25,9,2014,Autumn,White Perch,S,127
526,25,9,2014,Autumn,White Sucker,ALL,1
526,25,9,2014,Autumn,Yellow Perch,L,10
526,25,9,2014,Autumn,Yellow Perch,M,11
526,25,9,2014,Autumn,Yellow Perch,O/D,5
526,25,9,2014,Autumn,Yellow Perch,S,5
527,24,9,2014,Autumn,Channel Catfish,ALL,1
527,24,9,2014,Autumn,Emerald Shiner,ALL,5
527,24,9,2014,Autumn,Freshwater Drum,L,30
527,24,9,2014,Autumn,Freshwater Drum,M,13
527,24,9,2014,Autumn,Rainbow Smelt,S,66
527,24,9,2014,Autumn,Round Goby,ALL,3
527,24,9,2014,Autumn,Walleye,M,4
527,24,9,2014,Autumn,Walleye,S,15
527,24,9,2014,Autumn,White Bass,M,1
527,24,9,2014,Autumn,White Bass,S,39
527,24,9,2014,Autumn,White Perch,M,1
527,24,9,2014,Autumn,White Perch,O/D,5
527,24,9,2014,Autumn,Yellow Perch,L,5
527,24,9,2014,Autumn,Yellow Perch,O/D,5
527,24,9,2014,Autumn,Yellow Perch,S,11
528,24,9,2014,Autumn,Common Carp,ALL,1
528,24,9,2014,Autumn,Emerald Shiner,L,2
528,24,9,2014,Autumn,Freshwater Drum,M,6
528,24,9,2014,Autumn,Freshwater Drum,S,2
528,24,9,2014,Autumn,Gizzard Shad,ALL,46
528,24,9,2014,Autumn,Logperch,ALL,1
528,24,9,2014,Autumn,Rainbow Smelt,M,1
528,24,9,2014,Autumn,Rainbow Smelt,S,53
528,24,9,2014,Autumn,Trout Perch,L,9
528,24,9,2014,Autumn,Trout Perch,S,7
528,24,9,2014,Autumn,Unidentified Species,S,8
528,24,9,2014,Autumn,Walleye,S,43
528,24,9,2014,Autumn,White Bass,S,6
528,24,9,2014,Autumn,White Perch,M,1
528,24,9,2014,Autumn,White Perch,O/D,4
528,24,9,2014,Autumn,White Perch,S,44
528,24,9,2014,Autumn,White Sucker,ALL,1
528,24,9,2014,Autumn,Yellow Perch,L,6
528,24,9,2014,Autumn,Yellow Perch,M,7
528,24,9,2014,Autumn,Yellow Perch,O/D,5
528,24,9,2014,Autumn,Yellow Perch,S,80
529,22,9,2014,Autumn,Channel Catfish,L,4
529,22,9,2014,Autumn,Channel Catfish,M,24
529,22,9,2014,Autumn,Channel Catfish,S,3
529,22,9,2014,Autumn,Common Carp,ALL,4
529,22,9,2014,Autumn,Emerald Shiner,ALL,1
529,22,9,2014,Autumn,Freshwater Drum,L,8
529,22,9,2014,Autumn,Freshwater Drum,M,29
529,22,9,2014,Autumn,Freshwater Drum,S,5
529,22,9,2014,Autumn,Gizzard Shad,ALL,32
529,22,9,2014,Autumn,Quillback,ALL,7
529,22,9,2014,Autumn,Quillback,L,1
529,22,9,2014,Autumn,Rainbow Smelt,ALL,1
529,22,9,2014,Autumn,Round Goby,ALL,5
529,22,9,2014,Autumn,Trout Perch,ALL,1
529,22,9,2014,Autumn,Walleye,L,1
529,22,9,2014,Autumn,Walleye,M,3
529,22,9,2014,Autumn,White Bass,ALL,7
529,22,9,2014,Autumn,White Perch,M,151
529,22,9,2014,Autumn,White Perch,O/D,5
529,22,9,2014,Autumn,White Perch,S,11
529,22,9,2014,Autumn,White Perch,XS,624
529,22,9,2014,Autumn,White Sucker,ALL,4
